Cilium.ID,Position,Total.Length.pixel.,Outer.Length.pixel.,Out.In.Ratio...,Analysis.Time.s.,Manual.Total.Length.pixel.,Manual.Outer.Length.pixel.,Manual.Out.In.Ratio...,Manual.Analysis.Time.s.,fileName
1,"[253,1,18,9]",7.869886042961897,7.869886042961897,99.99872934971606,0.0128749,7.869886042961897,7.869886042961897,99.99872934971606,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
2,"[272,30,24,21]",8.50217177405117,8.50217177405117,99.99882384376016,0.004911,8.50217177405117,8.50217177405117,99.99882384376016,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
3,"[973,56,25,15]",12.32235080810348,3.723341354834031,30.215915752615462,0.0051997,12.32235080810348,3.723341354834031,30.215915752615462,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
4,"[841,113,23,13]",9.211878858060153,9.211878858060153,99.99891445690942,0.0046682,9.211878858060153,9.211878858060153,99.99891445690942,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
5,"[23,188,19,17]",7.8348888103707885,7.8348888103707885,99.99872367399087,0.0047758,7.8348888103707885,7.8348888103707885,99.99872367399087,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
6,"[941,242,21,13]",8.011751722613726,2.420807907053078,30.215335865743302,0.0044638,8.011751722613726,2.420807907053078,30.215335865743302,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
7,"[382,344,20,14]",4,4,99.99750006249845,0.0042095,4,4,99.99750006249845,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
8,"[27,345,19,14]",7.0710678118654755,7.0710678118654755,99.99858580643735,0.0048682,7.0710678118654755,7.0710678118654755,99.99858580643735,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
9,"[622,412,21,13]",6.708203932499371,6.708203932499371,99.99850931023688,0.0041129,6.708203932499371,6.708203932499371,99.99850931023688,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
10,"[994,425,23,14]",10.103609471190149,10.103609471190149,99.99901026449459,0.0058329,10.103609471190149,10.103609471190149,99.99901026449459,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
11,"[592,427,23,16]",9.899494936611664,9.899494936611664,99.99898985765942,0.0051644,9.899494936611664,9.899494936611664,99.99898985765942,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
12,"[264,435,24,14]",9.87216383703552,2.311783058440805,23.41694971489939,0.0045397,9.87216383703552,2.311783058440805,23.41694971489939,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
13,"[814,448,15,13]",5.0990195135927845,5.0990195135927845,99.99803887710941,0.0053286,5.0990195135927845,5.0990195135927845,99.99803887710941,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
14,"[696,659,21,11]",6.9495014150229935,6.9495014150229935,99.99856106855592,0.0045203,6.9495014150229935,6.9495014150229935,99.99856106855592,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
15,"[936,746,22,13]",8.771363459918822,4.886676866308193,55.711078187098984,0.0050575,8.771363459918822,4.886676866308193,55.711078187098984,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
16,"[72,778,19,15]",6.40312423743285,6.40312423743285,99.99843828677099,0.0050093,6.40312423743285,6.40312423743285,99.99843828677099,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
17,"[327,818,22,15]",9.233763756797421,9.233763756797421,99.99891702972197,0.0051111,9.233763756797421,9.233763756797421,99.99891702972197,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
18,"[741,844,21,17]",11.31370849898476,11.31370849898476,99.99911612433594,0.005587,11.31370849898476,11.31370849898476,99.99911612433594,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
19,"[102,993,20,15]",7.8348888103707885,7.8348888103707885,99.99872367399087,0.0052054,7.8348888103707885,7.8348888103707885,99.99872367399087,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
1,"[252,44,17,17]",7.264282266045714,7.264282266045714,99.99862342045977,0.0046411000000000004,7.264282266045714,7.264282266045714,99.99862342045977,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
2,"[108,162,16,17]",8.379984129144319,8.379984129144319,99.99880669455749,0.0047434,8.379984129144319,8.379984129144319,99.99880669455749,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
3,"[610,199,17,13]",5.65685424949238,5.65685424949238,99.99823226429648,0.0050094,5.65685424949238,5.65685424949238,99.99823226429648,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
4,"[256,201,18,13]",6.40312423743285,6.40312423743285,99.99843828677099,0.0049069,6.40312423743285,6.40312423743285,99.99843828677099,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
5,"[821,281,17,17]",9.372720764200428,9.372720764200428,99.99893308532708,0.0041398,9.372720764200428,9.372720764200428,99.99893308532708,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
6,"[492,291,21,13]",9.175071167173613,9.175071167173613,99.9989101020768,0.0046463,9.175071167173613,9.175071167173613,99.9989101020768,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
7,"[115,347,19,16]",7.834888810370787,3.6618865953720383,46.73761104195809,0.0051936,7.834888810370787,3.6618865953720383,46.73761104195809,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
8,"[14,373,18,15]",6.70820393249937,6.70820393249937,99.9985093102369,0.0045685,6.70820393249937,6.70820393249937,99.9985093102369,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
9,"[217,465,18,14]",7.211102550927977,2.2835158077938607,31.666227535100997,0.004574,7.211102550927977,2.2835158077938607,31.666227535100997,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
10,"[926,514,18,12]",5.0990195135927845,5.0990195135927845,99.99803887710941,0.0043554,5.0990195135927845,5.0990195135927845,99.99803887710941,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
11,"[301,631,18,14]",6.40312423743285,6.40312423743285,99.99843828677099,0.0040318,6.40312423743285,6.40312423743285,99.99843828677099,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
12,"[556,673,20,14]",8.485281374238571,8.485281374238571,99.99882150258676,0.0049736,8.485281374238571,8.485281374238571,99.99882150258676,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
13,"[972,701,19,15]",8.672662569725848,8.672662569725848,99.99884696486043,0.0041604,8.672662569725848,8.672662569725848,99.99884696486043,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
14,"[679,707,16,15]",7.999122624984139,7.999122624984139,99.99874987852334,0.0045731,7.999122624984139,7.999122624984139,99.99874987852334,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
15,"[78,724,18,13]",5.385164807134504,5.385164807134504,99.99814308110035,0.0049484,5.385164807134504,5.385164807134504,99.99814308110035,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
16,"[502,790,17,13]",5.385164807134504,5.385164807134504,99.99814308110035,0.0043517,5.385164807134504,5.385164807134504,99.99814308110035,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
17,"[333,843,18,15]",7.0710678118654755,7.0710678118654755,99.99858580643735,0.0047855,7.0710678118654755,7.0710678118654755,99.99858580643735,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
18,"[1011,917,13,13]",7.339569643395993,7.339569643395993,99.99863754085867,0.0046886,7.339569643395993,7.339569643395993,99.99863754085867,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
19,"[859,973,18,17]",7.810249675906656,7.810249675906656,99.99871964759392,0.0052615,7.810249675906656,7.810249675906656,99.99871964759392,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
1,"[92,101,16,13]",5.385164807134505,0.9872802146413264,18.33299289820174,0.004085,5.385164807134505,0.9872802146413264,18.33299289820174,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
2,"[45,236,22,15]",8.161873140868249,4.403222487710936,53.94801491888435,0.0049518,8.161873140868249,4.403222487710936,53.94801491888435,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
3,"[657,254,16,17]",7.025252208901213,7.025252208901213,99.99857658382062,0.0040531,7.025252208901213,7.025252208901213,99.99857658382062,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
4,"[31,296,20,16]",8.48528137423857,1.326330290997053,15.630768170582904,0.0046984,8.48528137423857,1.326330290997053,15.630768170582904,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
5,"[61,317,142,135]",15.301959257539384,7.5847269986361825,49.56670779391445,0.0083481,15.301959257539384,7.5847269986361825,49.56670779391445,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
6,"[272,406,17,18]",9.381423725166192,6.113736809658868,65.16784467813692,0.0050925,9.381423725166192,6.113736809658868,65.16784467813692,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
7,"[147,417,21,16]",11.31370849898476,11.31370849898476,99.99911612433594,0.0048911,11.31370849898476,11.31370849898476,99.99911612433594,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
8,"[157,440,23,19]",14.565307112617813,8.362221851386908,57.411521605481454,0.0064773,14.565307112617813,8.362221851386908,57.411521605481454,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
9,"[800,441,21,11]",8.803802108034324,8.803802108034324,99.99886414002822,0.0047305,8.803802108034324,8.803802108034324,99.99886414002822,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
10,"[533,472,21,12]",8.697637991595956,8.697637991595956,99.99885027578325,0.0047146,8.697637991595956,8.697637991595956,99.99885027578325,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
11,"[931,560,18,15]",6.70820393249937,3.242298567374696,48.332612833281175,0.004067,6.70820393249937,3.242298567374696,48.332612833281175,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
12,"[743,584,18,13]",6.4031242374328485,2.4331872102244825,37.99940654897297,0.0047051,6.4031242374328485,2.4331872102244825,37.99940654897297,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
13,"[309,632,18,16]",5.8309518948453,0,0,0.0043206,5.8309518948453,0,0,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
14,"[375,647,17,13]",4,1.9000000000000004,47.49881252968677,0.0043026,4,1.9000000000000004,47.49881252968677,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
15,"[516,686,17,14]",6.324555320336759,6.324555320336759,99.99841888616953,0.0040226,6.324555320336759,6.324555320336759,99.99841888616953,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
16,"[251,723,19,12]",6.403124237432849,6.403124237432849,99.99843828677099,0.0045514,6.403124237432849,6.403124237432849,99.99843828677099,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
17,"[80,737,19,12]",5.099019513592785,5.099019513592785,99.99803887710941,0.0043811,5.099019513592785,5.099019513592785,99.99803887710941,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
18,"[695,798,17,19]",10.6015606281492,2.910288296612213,27.451249372055027,0.0048464,10.6015606281492,2.910288296612213,27.451249372055027,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
19,"[584,842,17,13]",4,4,99.99750006249845,0.0040387,4,4,99.99750006249845,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
20,"[377,865,17,13]",4.47213595499958,4.47213595499958,99.99776398202138,0.0046846,4.47213595499958,4.47213595499958,99.99776398202138,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
21,"[102,932,16,20]",11.241715827969646,11.241715827969646,99.99911046398972,0.0043992,11.241715827969646,11.241715827969646,99.99911046398972,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
22,"[504,1014,17,10]",8.759766384050215,8.759766384050215,99.99885843007627,0.0048908,8.759766384050215,8.759766384050215,99.99885843007627,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized.tif
1,"[499,80,19,12]",4.242640687119286,4.242640687119286,99.99764303295031,0.0051025,4.242640687119286,4.242640687119286,99.99764303295031,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
2,"[974,307,19,15]",7.986494157575968,7.986494157575968,99.99874790182115,0.0046483,7.986494157575968,7.986494157575968,99.99874790182115,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
3,"[181,335,17,14]",6.708203932499371,6.708203932499371,99.99850931023688,0.0047198,6.708203932499371,6.708203932499371,99.99850931023688,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
4,"[722,426,16,17]",9.062527543706683,9.062527543706683,99.99889656725364,0.0042142,9.062527543706683,9.062527543706683,99.99889656725364,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
5,"[236,452,21,13]",7.071067811865475,7.071067811865475,99.99858580643735,0.0067759,7.071067811865475,7.071067811865475,99.99858580643735,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
6,"[311,506,20,11]",6.791444545204651,6.791444545204651,99.99852758088629,0.0044707,6.791444545204651,6.791444545204651,99.99852758088629,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
7,"[918,613,18,13]",6.4031242374328485,1.536749816983883,23.99962518882502,0.0040346,6.4031242374328485,1.536749816983883,23.99962518882502,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
8,"[733,733,21,15]",9.639004911305223,3.270384649854101,33.92830226402486,0.0043427,9.639004911305223,3.270384649854101,33.92830226402486,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
9,"[736,1010,19,13]",5.385164807134503,5.385164807134503,99.99814308110035,0.0045394,5.385164807134503,5.385164807134503,99.99814308110035,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_zstack_histogram_equalized.tif
1,"[725,43,23,11]",10.208941924682655,10.208941924682655,99.99902047615498,0.004256,10.208941924682655,10.208941924682655,99.99902047615498,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
2,"[507,53,19,12]",4.999999999999999,4.999999999999999,99.9980000399992,0.0047555,4.999999999999999,4.999999999999999,99.9980000399992,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
3,"[77,101,21,18]",10.699974380976322,10.699974380976322,99.99906542705743,0.0047701,10.699974380976322,10.699974380976322,99.99906542705743,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
4,"[47,213,17,14]",5.385164807134505,5.385164807134505,99.99814308110037,0.0042417,5.385164807134505,5.385164807134505,99.99814308110037,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
5,"[245,248,19,11]",5,5,99.9980000399992,0.0039832,5,5,99.9980000399992,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
6,"[699,265,18,12]",4,4,99.99750006249845,0.0039649,4,4,99.99750006249845,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
7,"[277,396,19,12]",6.313239998019583,6.313239998019583,99.99841605235848,0.0047415,6.313239998019583,6.313239998019583,99.99841605235848,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
8,"[831,419,18,13]",6.403124237432848,3.073499633967767,47.99925037765008,0.0042001,6.403124237432848,3.073499633967767,47.99925037765008,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
9,"[971,445,18,13]",4.242640687119286,4.242640687119286,99.99764303295031,0.005055,4.242640687119286,4.242640687119286,99.99764303295031,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
10,"[284,681,17,13]",4,4,99.99750006249845,0.004717,4,4,99.99750006249845,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
11,"[868,787,15,18]",9.096130210183771,9.096130210183771,99.99890064347879,0.004576,9.096130210183771,9.096130210183771,99.99890064347879,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
12,"[823,925,17,13]",4.999999999999999,4.999999999999999,99.9980000399992,0.0041306,4.999999999999999,4.999999999999999,99.9980000399992,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3_zstack_histogram_equalized.tif
1,"[180,4,17,16]",8.084831102392117,8.084831102392117,99.99876313108012,0.0045396,8.084831102392117,8.084831102392117,99.99876313108012,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
2,"[667,16,18,13]",6.403124237432848,6.403124237432848,99.99843828677098,0.0040954,6.403124237432848,6.403124237432848,99.99843828677098,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
3,"[411,67,22,12]",9.365986466631698,9.365986466631698,99.99893231820616,0.0040373,9.365986466631698,9.365986466631698,99.99893231820616,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
4,"[704,138,19,13]",8.192849684564859,8.192849684564859,99.99877943837262,0.0044281,8.192849684564859,8.192849684564859,99.99877943837262,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
5,"[223,140,16,14]",6.49642814465224,1.1860641181476166,18.2568918619086,0.0045798,6.49642814465224,1.1860641181476166,18.2568918619086,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
6,"[99,194,19,13]",7.0710678118654755,7.0710678118654755,99.99858580643735,0.0040542,7.0710678118654755,7.0710678118654755,99.99858580643735,0,190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4_zstack_histogram_equalized.tif
