"file_name","image_name_short","Name","Note","ID","x center [micron]","y center [micron]","z center [micron]","Volume [voxel]","Volume [micron^3]","N surface voxels","Surface [micron^2]","Shape complexity index","Sphere radius [micron]","Maximum span [micron]","A Coloc volume [micron^3]","A Coloc volume [% tot vol]","B Coloc volume [micron^3]","B Coloc volume [% tot vol]","A Coloc comp BG [micron^3]","A Coloc comp BG [% tot vol]","B Coloc comp BG [micron^3]","B Coloc comp BG [% tot vol]","minimum intensity (rec.C)","maximum intensity (rec.C)","average intensity 10% (rec.C)","average intensity (rec.C)","SD of intensity (rec.C)","minimum A intensity","maximum A intensity","average A intensity of hi 10%","average A intensity","SD of A intensity","minimum B intensity","maximum B intensity","average B intensity of hi 10%","average B intensity","SD of B intensity","N of found skeletons","N branches","tree length [micron]","cilia length [micron]","orientation vector x [micron]","orientation vector y [micron]","orientation vector z [micron]","cilia bending index","Intensity threshold A","Intensity threshold B","Intensity threshold Basal Stain","Integrated A intensity","Average A intensity on center","Integrated B intensity","Average B intensity on center","A Coloc center vs BG [micron]","A Coloc center vs BG [% tot l]","B Coloc center vs BG [micron]","B Coloc center vs BG [% tot l]","to_be_removed"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"2","1.303239","66.216249","0.000000","15","0.203641","14","1.607020","0.960051","0.364971","-1.000000","0.203641","100.000000","0.203641","100.000000","0.000000","0.000000","0.203641","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","12.000000","24.000000","24.000000","17.866667","4.206571","5.000000","9.000000","8.000000","6.266667","1.162919","1","3","2.163988","1.810471","-1.537529","-0.366078","0.000000","1.145499","42.562857","1.372282",NA,"162.427935","18.047548","52.340723","5.815636","0.000000","0.000000","1.976823","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"3","3.849603","8.346586","0.000000","19","0.257945","17","1.977870","1.009321","0.394893","-1.000000","0.230793","89.473684","0.257945","100.000000","0.000000","0.000000","0.257945","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","0.000000","7.000000","5.000000","1.473684","1.540866","5.000000","10.000000","9.500000","6.052632","1.432701","1","3","1.719491","1.573059","-0.366078","1.171451","0.000000","1.366069","42.562857","1.372282",NA,"17.178434","1.908715","55.312027","6.145781","0.000000","0.000000","1.976823","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"4","6.955488","62.489572","0.000000","6","0.081456","6","0.865318","0.952231","0.268913","-1.000000","0.081456","100.000000","0.081456","100.000000","0.000000","0.000000","0.081456","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","2.000000","5.000000","5.000000","2.500000","1.224745","5.000000","8.000000","8.000000","5.833333","1.169045","1","1","0.840903","0.840903","-0.512510","0.585725","0.000000","1.080444","42.562857","1.372282",NA,"13.679160","2.735832","27.849777","5.569955","0.000000","0.000000","1.098235","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"5","8.580876","61.457231","0.000000","15","0.203641","15","2.843189","1.698551","0.364971","-1.000000","0.203641","100.000000","0.203641","100.000000","0.000000","0.000000","0.203641","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","5.000000","13.000000","12.500000","8.466667","2.474633","5.000000","7.000000","7.000000","5.600000","0.736788","1","5","2.621047","2.254969","-1.757176","0.805372","0.000000","1.182035","42.562857","1.372282",NA,"96.352268","8.759297","53.895763","4.899615","0.000000","0.000000","2.416117","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"6","13.137377","216.373016","0.000000","53","0.719530","26","2.843189","0.732187","0.555887","-1.000000","0.651650","90.566038","0.719530","100.000000","0.000000","0.000000","0.719530","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","0.000000","2.000000","2.000000","1.037736","0.478871","5.000000","16.000000","14.400000","8.509434","3.092315","1","3","3.590616","3.297753","-0.439294","2.562548","0.000000","1.268401","42.562857","1.372282",NA,"14.768861","0.923054","150.711121","9.419445","0.000000","0.000000","3.514352","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"7","25.315725","187.026605","0.000000","39","0.529466","24","2.348721","0.742088","0.501861","-1.000000","0.529466","100.000000","0.529466","100.000000","0.257945","48.717949","0.529466","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","20.000000","58.000000","53.750000","40.333333","9.454415","5.000000","19.000000","16.500000","9.641026","4.126214","1","5","3.158680","2.689059","0.000000","-2.342901","0.000000","1.147748","42.562857","1.372282",NA,"518.849966","39.911536","156.329058","12.025312","1.537529","53.846154","2.855411","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"8","42.373941","6.782161","0.000000","49","0.665226","26","2.966805","0.805055","0.541535","-1.000000","0.651650","97.959184","0.665226","100.000000","0.000000","0.000000","0.665226","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","0.000000","11.000000","9.800000","3.795918","2.857589","5.000000","23.000000","22.000000","11.571429","5.823802","1","3","2.719386","2.499739","-2.196470","-0.585725","0.000000","1.099644","42.562857","1.372282",NA,"31.388854","2.615738","152.659548","12.721629","0.000000","0.000000","2.635764","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"9","43.700203","196.736863","0.000000","23","0.312249","18","2.348721","1.055229","0.420860","-1.000000","0.312249","100.000000","0.312249","100.000000","0.000000","0.000000","0.312249","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","19.000000","39.000000","38.500000","26.000000","5.502066","5.000000","10.000000","9.500000","6.217391","1.380267","1","1","2.615844","2.615844","0.000000","-1.683960","0.000000","1.553388","42.562857","1.372282",NA,"348.034253","26.771866","78.613867","6.047221","0.000000","0.000000","2.855411","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"10","45.329650","119.570336","0.000000","8","0.108608","8","1.483403","1.347513","0.295977","-1.000000","0.108608","100.000000","0.108608","100.000000","0.000000","0.000000","0.108608","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","5.000000","9.000000","9.000000","7.375000","1.187735","5.000000","8.000000","8.000000","5.500000","1.069045","1","3","1.292758","1.116000","-0.878588","0.366078","0.000000","1.172511","42.562857","1.372282",NA,"42.418421","7.069737","28.528923","4.754821","0.000000","0.000000","1.317882","100.000000","yes_or_no"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif",NA,"11","48.667500","7.091460","0.000000","7","0.095032","7","1.112552","1.104728","0.283092","-1.000000","0.095032","100.000000","0.095032","100.000000","0.000000","0.000000","0.095032","100.000000","255.000000","255.000000","255.000000","255.000000","0.000000","3.000000","10.000000","10.000000","6.000000","2.160247","5.000000","7.000000","7.000000","5.428571","0.786796","1","3","1.426628","1.280197","-0.732157","0.658941","0.000000","1.299671","42.562857","1.372282",NA,"41.505306","5.929329","35.846696","5.120957","0.000000","0.000000","1.537529","100.000000","yes_or_no"
