file_name,image_name_short,Name,Note,ID,x center [micron],y center [micron],z center [micron],Volume [voxel],Volume [micron^3],N surface voxels,Surface [micron^2],Shape complexity index,Sphere radius [micron],Maximum span [micron],A Coloc volume [micron^3],A Coloc volume [% tot vol],B Coloc volume [micron^3],B Coloc volume [% tot vol],A Coloc comp BG [micron^3],A Coloc comp BG [% tot vol],B Coloc comp BG [micron^3],B Coloc comp BG [% tot vol],minimum intensity (rec.C),maximum intensity (rec.C),average intensity 10% (rec.C),average intensity (rec.C),SD of intensity (rec.C),minimum A intensity,maximum A intensity,average A intensity of hi 10%,average A intensity,SD of A intensity,minimum B intensity,maximum B intensity,average B intensity of hi 10%,average B intensity,SD of B intensity,N of found skeletons,N branches,tree length [micron],cilia length [micron],orientation vector x [micron],orientation vector y [micron],orientation vector z [micron],cilia bending index,Intensity threshold A,Intensity threshold B,Intensity threshold Basal Stain,Integrated A intensity,Average A intensity on center,Integrated B intensity,Average B intensity on center,A Coloc center vs BG [micron],A Coloc center vs BG [% tot l],B Coloc center vs BG [micron],B Coloc center vs BG [% tot l],to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,2,1.303239,66.216249,0,15,0.203641,14,1.60702,0.960051,0.364971,-1,0.203641,100,0.203641,100,0,0,0.203641,100,255,255,255,255,0,12,24,24,17.866667,4.206571,5,9,8,6.266667,1.162919,1,3,2.163988,1.810471,-1.537529,-0.366078,0,1.145499,42.562857,1.372282,NA,162.427935,18.047548,52.340723,5.815636,0,0,1.976823,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,3,3.849603,8.346586,0,19,0.257945,17,1.97787,1.009321,0.394893,-1,0.230793,89.473684,0.257945,100,0,0,0.257945,100,255,255,255,255,0,0,7,5,1.473684,1.540866,5,10,9.5,6.052632,1.432701,1,3,1.719491,1.573059,-0.366078,1.171451,0,1.366069,42.562857,1.372282,NA,17.178434,1.908715,55.312027,6.145781,0,0,1.976823,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,4,6.955488,62.489572,0,6,0.081456,6,0.865318,0.952231,0.268913,-1,0.081456,100,0.081456,100,0,0,0.081456,100,255,255,255,255,0,2,5,5,2.5,1.224745,5,8,8,5.833333,1.169045,1,1,0.840903,0.840903,-0.51251,0.585725,0,1.080444,42.562857,1.372282,NA,13.67916,2.735832,27.849777,5.569955,0,0,1.098235,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,5,8.580876,61.457231,0,15,0.203641,15,2.843189,1.698551,0.364971,-1,0.203641,100,0.203641,100,0,0,0.203641,100,255,255,255,255,0,5,13,12.5,8.466667,2.474633,5,7,7,5.6,0.736788,1,5,2.621047,2.254969,-1.757176,0.805372,0,1.182035,42.562857,1.372282,NA,96.352268,8.759297,53.895763,4.899615,0,0,2.416117,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,6,13.137377,216.373016,0,53,0.71953,26,2.843189,0.732187,0.555887,-1,0.65165,90.566038,0.71953,100,0,0,0.71953,100,255,255,255,255,0,0,2,2,1.037736,0.478871,5,16,14.4,8.509434,3.092315,1,3,3.590616,3.297753,-0.439294,2.562548,0,1.268401,42.562857,1.372282,NA,14.768861,0.923054,150.711121,9.419445,0,0,3.514352,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,7,25.315725,187.026605,0,39,0.529466,24,2.348721,0.742088,0.501861,-1,0.529466,100,0.529466,100,0.257945,48.717949,0.529466,100,255,255,255,255,0,20,58,53.75,40.333333,9.454415,5,19,16.5,9.641026,4.126214,1,5,3.15868,2.689059,0,-2.342901,0,1.147748,42.562857,1.372282,NA,518.849966,39.911536,156.329058,12.025312,1.537529,53.846154,2.855411,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,8,42.373941,6.782161,0,49,0.665226,26,2.966805,0.805055,0.541535,-1,0.65165,97.959184,0.665226,100,0,0,0.665226,100,255,255,255,255,0,0,11,9.8,3.795918,2.857589,5,23,22,11.571429,5.823802,1,3,2.719386,2.499739,-2.19647,-0.585725,0,1.099644,42.562857,1.372282,NA,31.388854,2.615738,152.659548,12.721629,0,0,2.635764,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,9,43.700203,196.736863,0,23,0.312249,18,2.348721,1.055229,0.42086,-1,0.312249,100,0.312249,100,0,0,0.312249,100,255,255,255,255,0,19,39,38.5,26,5.502066,5,10,9.5,6.217391,1.380267,1,1,2.615844,2.615844,0,-1.68396,0,1.553388,42.562857,1.372282,NA,348.034253,26.771866,78.613867,6.047221,0,0,2.855411,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,10,45.32965,119.570336,0,8,0.108608,8,1.483403,1.347513,0.295977,-1,0.108608,100,0.108608,100,0,0,0.108608,100,255,255,255,255,0,5,9,9,7.375,1.187735,5,8,8,5.5,1.069045,1,3,1.292758,1.116,-0.878588,0.366078,0,1.172511,42.562857,1.372282,NA,42.418421,7.069737,28.528923,4.754821,0,0,1.317882,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,11,48.6675,7.09146,0,7,0.095032,7,1.112552,1.104728,0.283092,-1,0.095032,100,0.095032,100,0,0,0.095032,100,255,255,255,255,0,3,10,10,6,2.160247,5,7,7,5.428571,0.786796,1,3,1.426628,1.280197,-0.732157,0.658941,0,1.299671,42.562857,1.372282,NA,41.505306,5.929329,35.846696,5.120957,0,0,1.537529,100,yes
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,12,50.58745,72.806117,0,32,0.434433,18,1.854253,0.668451,0.469834,-1,0.434433,100,0.434433,100,0,0,0.434433,100,255,255,255,255,0,6,32,27.666667,14.75,6.796584,5,20,17,9.71875,3.879095,1,5,2.348105,1.658837,-1.391098,-0.439294,0,1.137115,42.562857,1.372282,NA,131.003119,14.555902,82.498233,9.16647,0,0,1.976823,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,13,53.610764,208.782921,0,26,0.352977,18,1.97787,0.818872,0.438416,-1,0.339401,96.153846,0.352977,100,0,0,0.352977,100,255,255,255,255,0,0,1,1,0.961538,0.196116,5,24,18.666667,10.153846,4.397202,1,1,2.322981,2.322981,-0.951804,-1.757176,0,1.162421,42.562857,1.372282,NA,10.975175,0.914598,139.081867,11.590156,0,0,2.635764,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,14,76.151615,85.779475,0,30,0.407281,19,1.97787,0.744362,0.459835,-1,0.407281,100,0.407281,100,0,0,0.407281,100,255,255,255,255,0,1,3,2.666667,1.233333,0.568321,5,30,27,13.7,7.037584,1,1,1.939138,1.939138,-0.878588,1.317882,0,1.224283,42.562857,1.372282,NA,13.828017,1.382802,156.282161,15.628216,0,0,2.19647,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,15,76.481085,7.760861,0,30,0.407281,16,1.854253,0.697839,0.459835,-1,0.407281,100,0.407281,100,0,0,0.407281,100,255,255,255,255,0,8,15,14.666667,11.9,1.604949,5,22,21.666667,12.433333,5.562704,1,3,2.073007,1.749817,-1.537529,0.073216,0,1.136783,42.562857,1.372282,NA,101.044518,11.227169,109.784915,12.198324,0,0,1.976823,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,16,94.042708,220.45378,0,52,0.705954,31,2.843189,0.741545,0.552369,-1,0.705954,100,0.705954,100,0,0,0.705954,100,255,255,255,255,0,4,18,17,11.923077,3.318671,5,26,23.2,11.153846,5.781596,1,5,3.335438,3.042576,-0.585725,-2.342901,0,1.259862,42.562857,1.372282,NA,197.273459,13.151564,176.346225,11.756415,0,0,3.294705,100,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection_CQP.tif,NA,17,94.692262,131.861416,0,63,0.855291,29,2.843189,0.652498,0.588855,-1,0.855291,100,0.855291,100,0,0,0.855291,100,255,255,255,255,0,5,15,13.833333,9.698413,2.129932,5,20,16.833333,10.365079,3.972898,1,3,3.310315,2.694263,-1.976823,-0.146431,0,1.380838,42.562857,1.372282,NA,137.47206,10.574774,147.332838,11.333295,0,0,2.855411,100,
