file_name,image_name_short,Name,Note,ID,x center [micron],y center [micron],z center [micron],Volume [voxel],Volume [micron^3],N surface voxels,Surface [micron^2],Shape complexity index,Sphere radius [micron],Maximum span [micron],A Coloc volume [micron^3],A Coloc volume [% tot vol],B Coloc volume [micron^3],B Coloc volume [% tot vol],A Coloc comp BG [micron^3],A Coloc comp BG [% tot vol],B Coloc comp BG [micron^3],B Coloc comp BG [% tot vol],minimum intensity (rec.C),maximum intensity (rec.C),average intensity 10% (rec.C),average intensity (rec.C),SD of intensity (rec.C),minimum A intensity,maximum A intensity,average A intensity of hi 10%,average A intensity,SD of A intensity,minimum B intensity,maximum B intensity,average B intensity of hi 10%,average B intensity,SD of B intensity,N of found skeletons,N branches,tree length [micron],cilia length [micron],orientation vector x [micron],orientation vector y [micron],orientation vector z [micron],cilia bending index,Intensity threshold A,Intensity threshold B,Intensity threshold Basal Stain,Integrated A intensity,Average A intensity on center,Integrated B intensity,Average B intensity on center,A Coloc center vs BG [micron],A Coloc center vs BG [% tot l],B Coloc center vs BG [micron],B Coloc center vs BG [% tot l],to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,34,6.91866,62.54249,0.597954,8,0.108598,8,2.282301,2.073359,0.295968,-1,0,0,0.095023,87.5,0,0,0,0,255,255,255,255,0,0,0,0,0,0,0,5,5,1.5,1.511858,1,3,1.695743,1.488664,-0.512493,0.512493,-0.28139,2.160597,0.454829,24.31217,NA,0,0,13.715067,1.523896,0,0,0,0,yes
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,35,45.428873,119.630587,0.609678,6,0.081448,6,1.842116,2.027268,0.268904,-1,0,0,0.081448,100,0,0,0,0,255,255,255,255,0,0,0,0,0,0,3,7,7,5,1.67332,1,3,1.204251,0.966276,-0.65892,0.21964,-0.187593,1.343075,0.454829,24.31217,NA,0,0,28.598857,5.719771,0,0,0,0,yes
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,36,101.91296,219.376432,0.56278,5,0.067874,5,1.374806,1.708531,0.253049,-1,0,0,0.067874,100,0,0,0,0,255,255,255,255,0,0,0,0,0,0,2,6,6,3.8,1.48324,1,1,0.680142,0.680142,0.366067,0.21964,-0.28139,1.330222,0.454829,24.31217,NA,0,0,17.290156,4.322539,0,0,0,0,yes
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,37,144.165188,210.545277,1.879407,81,1.099554,74,11.709887,2.272955,0.640289,-1,0.095023,8.641975,1.05883,96.296296,0.095023,8.641975,0,0,255,255,255,255,0,0,2,1.25,0.123457,0.429614,0,6,5.375,2.938272,1.434797,1,5,4.477309,4.145537,0.585707,0.65892,-3.001493,1.325177,0.454829,24.31217,NA,8.26231,0.413115,59.037171,2.951859,1.31784,30,0,0,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,38,53.595947,208.794328,2.107999,116,1.57467,100,15.517729,2.370742,0.721717,-1,0.095023,6.034483,0.28507,18.103448,0.095023,6.034483,0,0,255,255,255,255,0,0,3,0.916667,0.094828,0.416579,0,1,1,0.181034,0.386717,1,7,5.184882,4.433851,0.87856,1.75712,-2.720103,1.330288,0.454829,24.31217,NA,2.39295,0.11395,5.31463,0.253078,0.43928,9.52381,0,0,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP_CQs,1,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_CQP.tif,NA,39,110.056535,166.115422,1.017333,13,0.176472,13,3.093313,2.03309,0.34796,-1,0.176472,100,0.149322,84.615385,0.176472,100,0,0,255,255,255,255,0,2,47,47,15.153846,12.615111,0,4,4,1.153846,0.987096,1,4,2.379478,1.471538,0.585707,0,-0.468983,2.025185,0.454829,24.31217,NA,168.797056,21.099632,12.961059,1.620132,1.75712,100,0,0,yes
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP_CQs,2,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP.tif,NA,1,10.579327,56.973152,4.877427,150,2.036211,125,19.835113,2.553105,0.786282,-1,0,0,0.828059,40.666667,0,0,0.162897,8,255,255,255,255,0,0,0,0,0,0,0,3,2.066667,0.513333,0.721079,1,14,8.091041,4.068339,-1.464267,-0.073213,-2.8139,1.33773,0,1.995326,NA,0,0,6.133432,0.306672,0,0,0,0,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP_CQs,2,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP.tif,NA,2,36.573745,25.209955,4.830843,149,2.022636,141,18.059266,2.334913,0.78453,-1,0.420817,20.805369,1.723992,85.234899,0.420817,20.805369,0.828059,40.939597,255,255,255,255,0,0,3,2.4,0.348993,0.779173,0,5,3.866667,1.543624,1.153627,1,7,7.721932,4.153977,-1.903547,-0.073213,-1.96973,1.51594,0,1.995326,NA,1.745553,0.087278,26.70862,1.335431,1.31784,30,1.0982,25,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP_CQs,2,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP.tif,NA,3,44.786949,57.928089,4.84644,112,1.520371,94,14.528857,2.272206,0.713324,-1,0.054299,3.571429,1.520371,100,0.054299,3.571429,1.411773,92.857143,255,255,255,255,0,0,3,0.545455,0.053571,0.324365,1,14,12.818182,7.232143,3.409003,1,7,5.128776,3.664179,-0.43928,0.21964,-3.001493,1.204763,0,1.995326,NA,6.226251,0.345903,120.150244,6.675014,1.53748,38.888889,2.85532,72.222222,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP_CQs,2,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2_CQP.tif,NA,4,44.320631,135.543148,4.908139,113,1.533946,98,15.463477,2.404084,0.715441,-1,0.895933,58.40708,0.25792,16.814159,0.895933,58.40708,0,0,255,255,255,255,0,0,47,34,8.371681,11.672766,0,1,1,0.168142,0.375658,1,7,5.214042,3.717857,-0.585707,0.805347,-2.8139,1.241624,0,1.995326,NA,187.49679,10.416488,4.713014,0.261834,2.63568,66.666667,0,0,
