"file_name","image_name_short","Name","Note","ID","x center [micron]","y center [micron]","z center [micron]","Volume [voxel]","Volume [micron^3]","N surface voxels","Surface [micron^2]","Shape complexity index","Sphere radius [micron]","Maximum span [micron]","A Coloc volume [micron^3]","A Coloc volume [% tot vol]","B Coloc volume [micron^3]","B Coloc volume [% tot vol]","A Coloc comp BG [micron^3]","A Coloc comp BG [% tot vol]","B Coloc comp BG [micron^3]","B Coloc comp BG [% tot vol]","minimum intensity (rec.C)","maximum intensity (rec.C)","average intensity 10% (rec.C)","average intensity (rec.C)","SD of intensity (rec.C)","minimum A intensity","maximum A intensity","average A intensity of hi 10%","average A intensity","SD of A intensity","minimum B intensity","maximum B intensity","average B intensity of hi 10%","average B intensity","SD of B intensity","N of found skeletons","N branches","tree length [micron]","cilia length [micron]","orientation vector x [micron]","orientation vector y [micron]","orientation vector z [micron]","cilia bending index","Intensity threshold A","Intensity threshold B","Intensity threshold Basal Stain","Integrated A intensity","Average A intensity on center","Integrated B intensity","Average B intensity on center","A Coloc center vs BG [micron]","A Coloc center vs BG [% tot l]","B Coloc center vs BG [micron]","B Coloc center vs BG [% tot l]"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"2","13.178820","216.272423","0.000000","33","0.448009","22","2.101487","0.742195","0.474678","-1.000000","0.448009","100.000000","0.448009","100.000000","0.000000","0.000000","0.448009","100.000000","4.000000","6.000000","6.000000","4.636364","0.699025","1.000000","1.000000","1.000000","1.000000","0.000000","4.000000","6.000000","6.000000","4.636364","0.699025","1","1","1.944341","1.944341","-0.658941","1.610745","0.000000","1.117234","49.868824","1.209919",NA,"10.000000","1.000000","50.792405","5.079241","0.000000","0.000000","2.196470","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"3","25.305165","186.974509","0.000000","24","0.325825","17","1.607020","0.701801","0.426873","-1.000000","0.325825","100.000000","0.325825","100.000000","0.135760","41.666667","0.325825","100.000000","4.000000","7.000000","7.000000","5.666667","1.203859","27.000000","58.000000","58.000000","45.833333","9.024925","4.000000","7.000000","7.000000","5.666667","1.203859","1","1","0.939242","0.939242","-0.146431","0.878588","0.000000","1.054490","49.868824","1.209919",NA,"229.886652","45.977330","32.682121","6.536424","0.439294","40.000000","1.098235","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"4","42.205171","6.798075","0.000000","20","0.271521","15","1.483403","0.731542","0.401703","-1.000000","0.271521","100.000000","0.271521","100.000000","0.000000","0.000000","0.271521","100.000000","4.000000","6.000000","5.500000","4.600000","0.598243","1.000000","5.000000","5.000000","2.400000","1.313893","4.000000","6.000000","5.500000","4.600000","0.598243","1","1","0.633817","0.633817","-0.512510","-0.292863","0.000000","1.073751","49.868824","1.209919",NA,"8.358035","2.089509","20.246352","5.061588","0.000000","0.000000","0.878588","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"5","50.460237","72.820302","0.000000","15","0.203641","11","1.236169","0.738500","0.364971","-1.000000","0.203641","100.000000","0.203641","100.000000","0.000000","0.000000","0.203641","100.000000","4.000000","5.000000","5.000000","4.466667","0.516398","9.000000","33.000000","33.000000","17.400000","7.490947","4.000000","5.000000","5.000000","4.466667","0.516398","1","1","0.353517","0.353517","-0.146431","-0.292863","0.000000","1.079669","49.868824","1.209919",NA,"37.561263","12.520421","15.000000","5.000000","0.000000","0.000000","0.658941","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"6","53.606071","208.823284","0.000000","18","0.244369","13","1.359786","0.719376","0.387840","-1.000000","0.244369","100.000000","0.244369","100.000000","0.000000","0.000000","0.244369","100.000000","4.000000","9.000000","9.000000","5.666667","1.714986","1.000000","1.000000","1.000000","1.000000","0.000000","4.000000","9.000000","9.000000","5.666667","1.714986","1","1","0.883791","0.883791","-0.366078","-0.732157","0.000000","1.079669","49.868824","1.209919",NA,"5.000000","1.000000","36.553564","7.310713","0.000000","0.000000","1.098235","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"7","76.228491","85.849030","0.000000","20","0.271521","12","1.359786","0.670581","0.401703","-1.000000","0.271521","100.000000","0.271521","100.000000","0.000000","0.000000","0.271521","100.000000","4.000000","8.000000","8.000000","5.600000","1.500877","1.000000","1.000000","1.000000","1.000000","0.000000","4.000000","8.000000","8.000000","5.600000","1.500877","1","1","0.414170","0.414170","-0.292863","0.292863","0.000000","1.000000","49.868824","1.209919",NA,"3.000000","1.000000","21.768436","7.256145","0.000000","0.000000","0.658941","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"8","76.437156","7.797468","0.000000","14","0.190065","10","1.112552","0.695935","0.356673","-1.000000","0.190065","100.000000","0.190065","100.000000","0.000000","0.000000","0.190065","100.000000","4.000000","6.000000","6.000000","4.785714","0.801784","11.000000","15.000000","15.000000","13.000000","1.358732","4.000000","6.000000","6.000000","4.785714","0.801784","1","1","0.103543","0.103543","-0.073216","-0.073216","0.000000","1.000000","49.868824","1.209919",NA,"13.000000","13.000000","5.187957","5.187957","0.000000","0.000000","0.219647","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"9","93.995188","220.635412","0.000000","32","0.434433","20","1.977870","0.713014","0.469834","-1.000000","0.434433","100.000000","0.434433","100.000000","0.000000","0.000000","0.434433","100.000000","4.000000","8.000000","8.000000","5.500000","1.459120","5.000000","17.000000","15.666667","12.250000","2.369157","4.000000","8.000000","8.000000","5.500000","1.459120","1","1","1.487282","1.487282","-0.585725","-1.244666","0.000000","1.081190","49.868824","1.209919",NA,"102.914309","12.864289","56.595713","7.074464","0.000000","0.000000","1.757176","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"10","94.667857","131.793980","0.000000","38","0.515890","20","1.977870","0.635832","0.497534","-1.000000","0.515890","100.000000","0.515890","100.000000","0.000000","0.000000","0.515890","100.000000","4.000000","7.000000","6.500000","4.947368","0.928450","7.000000","15.000000","13.500000","9.789474","2.055420","4.000000","7.000000","6.500000","4.947368","0.928450","1","1","0.883791","0.883791","-0.658941","0.439294","0.000000","1.115971","49.868824","1.209919",NA,"59.726585","11.945317","30.679712","6.135942","0.000000","0.000000","1.098235","100.000000"
"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP_CQs",1,"190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_zstack_histogram_equalized_CQP.tif",NA,"11","95.157839","181.006024","0.000000","13","0.176489","9","1.236169","0.812424","0.347971","-1.000000","0.176489","100.000000","0.176489","100.000000","0.013576","7.692308","0.176489","100.000000","4.000000","5.000000","5.000000","4.384615","0.506370","11.000000","51.000000","51.000000","24.538462","10.587850","4.000000","5.000000","5.000000","4.384615","0.506370","1","1","0.103543","0.103543","-0.073216","0.073216","0.000000","1.000000","49.868824","1.209919",NA,"18.588812","18.588812","4.884732","4.884732","0.000000","0.000000","0.219647","100.000000"
