dirName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.1,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.2,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.3,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.4,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.5,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.6,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.7,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.8,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.9,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0,1,TRUE,30,30,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.1,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.2,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.3,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.4,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.5,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.6,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.7,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.8,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.9,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.1,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.2,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.3,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.4,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.5,1,TRUE,46,46,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.6,1,FALSE,48,48,20,9,11,3,3,8,8,8.54,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.7,1,FALSE,48,48,20,9,11,3,3,8,8,8.54,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.8,1,FALSE,48,48,20,9,11,3,3,8,8,8.54,yes_or_no
