dirName;cilium;cilium_shape;cilium_projection_area_in_pixels;cilium_projection_area_in_um2;number_of_z_stack_layers;lowest_cilium_layer;uppermost_cilium_layer;vertical_length_in_layers;vertical_length_in_um;horizontal_length_in_pixels;horizontal_length_in_um;total_length_in_um;to_be_removed
horizontal_blur_combined;1;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;2;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;3;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;4;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;5;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;6;TRUE;30;30;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;7;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;8;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;9;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;10;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;11;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;12;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;13;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;14;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;15;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;16;TRUE;56;56;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;17;TRUE;72;72;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;18;TRUE;76;76;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;19;TRUE;76;76;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;20;TRUE;76;76;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;21;TRUE;76;76;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;22;TRUE;72;72;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;23;TRUE;72;72;20;9;11;3;3;12;12;12,37;yes_or_no
horizontal_blur_combined;24;FALSE;66;66;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;25;FALSE;66;66;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;26;FALSE;62;62;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;27;FALSE;62;62;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;28;FALSE;58;58;20;9;11;3;3;10;10;10,44;yes_or_no
horizontal_blur_combined;29;FALSE;48;48;20;9;11;3;3;8;8;8,54;yes_or_no
horizontal_blur_combined;30;TRUE;40;40;20;9;11;3;3;8;8;8,54;yes_or_no
horizontal_blur_combined;31;TRUE;36;36;20;9;11;3;3;8;8;8,54;yes_or_no
horizontal_blur_combined;32;TRUE;36;36;20;9;11;3;3;8;8;8,54;yes_or_no
horizontal_blur_combined;33;FALSE;26;26;20;9;11;3;3;6;6;6,71;yes_or_no
horizontal_blur_combined;34;FALSE;26;26;20;9;11;3;3;6;6;6,71;yes_or_no
