Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1;NA;green;NA;max;TRUE;0,552376592660411;0,0552376592660411;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_10_0_gblur_1;NA;green;NA;max;TRUE;0,552376592660411;0,0552376592660411;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_15_0_gblur_1;NA;green;NA;max;TRUE;0,552376592660411;0,0552376592660411;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_20_0_gblur_1;NA;green;NA;max;TRUE;0,552283611154050;0,0552283611154050;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_25_0_gblur_1;NA;green;NA;max;TRUE;0,569176775768673;0,0569176775768673;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_30_0_gblur_1;NA;green;NA;max;TRUE;0,570585835283996;0,0570585835283996;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_35_0_gblur_1;NA;green;NA;max;TRUE;0,572181527292170;0,0572181527292170;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_40_0_gblur_1;NA;green;NA;max;TRUE;0,537130922411535;0,0537130922411535;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_45_0_gblur_1;NA;green;NA;max;TRUE;0,536354253358404;0,0536354253358405;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_5_0_gblur_1;NA;green;NA;max;TRUE;0,552376592660411;0,0552376592660411;5;1;5;100;0,2;1;1;45
