fileName;cilium;vertical_length;horizontal_length;total_length;to_be_removed
180926_ES3_1_x63_zstack_10;1;1,688394563;1,132525069;2,033049245;no
180926_ES3_1_x63_zstack_11;1;4,502385501;1,789809989;4,845089782;no
180926_ES3_1_x63_zstack_11;2;4,220986407;1,32995601;4,425551857;no
180926_ES3_1_x63_zstack_11;3;3,376789126;2,494270913;4,198105785;no
180926_ES3_1_x63_zstack_11;4;4,220986407;2,489982676;4,900687704;no
180926_ES3_1_x63_zstack_11;5;5,627981876;1,10821756;5,73605493;no
180926_ES3_1_x63_zstack_11;6;2,813990938;1,741778614;3,309431634;no
180926_ES3_1_x63_zstack_11;7;3,939587313;2,357722709;4,591209489;no
180926_ES3_1_x63_zstack_11;8;4,502385501;1,981654801;4,919190071;no
180926_ES3_1_x63_zstack_11;9;4,220986407;1,941575966;4,646121337;no
180926_ES3_1_x63_zstack_11;10;7,879174627;1,826184117;8,088036921;no
180926_ES3_1_x63_zstack_11;11;7,879174627;2,491857162;8,263821448;no
180926_ES3_1_x63_zstack_11;12;4,502385501;2,209480733;5,015304608;no
180926_ES3_1_x63_zstack_11;13;2,813990938;1,696900234;3,286033384;no
180926_ES3_1_x63_zstack_11;14;3,939587313;1,600526314;4,252297342;no
180926_ES3_1_x63_zstack_11;15;4,220986407;2,326974915;4,819910632;no
180926_ES3_1_x63_zstack_11;16;5,90938097;1,497945521;6,09627954;no
180926_ES3_1_x63_zstack_11;17;4,502385501;1,617787135;4,784214712;no
180926_ES3_1_x63_zstack_11;18;3,939587313;1,549454879;4,233338945;no
180926_ES3_1_x63_zstack_12;1;2,251192751;2,435081073;3,316246165;no
180926_ES3_1_x63_zstack_12;2;3,095390032;2,414227879;3,925549095;no
180926_ES3_1_x63_zstack_13;1;3,939587313;1,817427221;4,338593079;no
180926_ES3_1_x63_zstack_13;2;3,65818822;3,147580521;4,825930396;yes
180926_ES3_1_x63_zstack_13;3;3,095390032;3,298538495;4,523471637;yes
180926_ES3_1_x63_zstack_13;4;3,095390032;3,504571652;4,675838098;yes
180926_ES3_1_x63_zstack_13;5;2,532591844;3,030899441;3,949730734;yes
180926_ES3_1_x63_zstack_13;6;2,813990938;2,661587299;3,873317951;no
180926_ES3_1_x63_zstack_13;7;3,65818822;1,540942242;3,969489141;no
180926_ES3_1_x63_zstack_13;8;2,532591844;2,066972661;3,269005572;no
180926_ES3_1_x63_zstack_13;9;2,532591844;2,882812657;3,837268595;no
180926_ES3_1_x63_zstack_13;10;3,095390032;4,001037971;5,058630674;no
180926_ES3_1_x63_zstack_13;11;2,532591844;2,658496792;3,671733465;no
180926_ES3_1_x63_zstack_13;12;3,65818822;5,071041447;6,252823555;yes
180926_ES3_1_x63_zstack_13;13;2,813990938;2,493490362;3,759792439;no
180926_ES3_1_x63_zstack_13;14;2,813990938;2,858771177;4,011373536;no
180926_ES3_1_x63_zstack_13;15;4,220986407;3,090157597;5,231233146;yes
180926_ES3_1_x63_zstack_13;16;3,095390032;2,214647778;3,806061511;no
180926_ES3_1_x63_zstack_13;17;2,532591844;2,174619669;3,338112064;no
180926_ES3_1_x63_zstack_13;18;3,095390032;5,182247434;6,036317414;no
180926_ES3_1_x63_zstack_13;19;2,251192751;1,581782482;2,751345965;no
180926_ES3_1_x63_zstack_13;20;2,532591844;1,53823011;2,963135724;no
180926_ES3_1_x63_zstack_13;21;3,095390032;2,252255017;3,828066367;no
180926_ES3_1_x63_zstack_13;22;3,095390032;2,694492013;4,103867281;no
180926_ES3_1_x63_zstack_13;23;2,532591844;1,537529298;2,962771978;no
180926_ES3_1_x63_zstack_13;24;2,813990938;2,96064456;4,084600496;no
180926_ES3_1_x63_zstack_8;1;3,939587313;1,538682939;4,22940816;no
180926_ES3_1_x63_zstack_8;2;4,783784595;1,757176341;5,096299024;no
180926_ES3_1_x63_zstack_8;3;3,65818822;2,490810654;4,425661393;no
180926_ES3_1_x63_zstack_8;4;3,376789126;1,851135974;3,850897193;no
180926_ES3_1_x63_zstack_8;5;3,65818822;1,976825891;4,158146421;yes
180926_ES3_1_x63_zstack_8;6;4,220986407;2,196429211;4,758258876;yes
180926_ES3_1_x63_zstack_8;7;3,095390032;1,582636796;3,476518183;yes
180926_ES3_1_x63_zstack_8;8;5,065183689;3,584219829;6,205055808;no
180926_ES3_1_x63_zstack_8;9;3,65818822;3,348437601;4,959271662;no
180926_ES3_1_x63_zstack_8;10;2,813990938;2,206226207;3,575748743;no
180926_ES3_1_x63_zstack_8;11;2,532591844;1,763322847;3,08598913;no
180926_ES3_1_x63_zstack_8;12;4,502385501;1,894003681;4,884539399;no
180926_ES3_1_x63_zstack_8;13;4,220986407;2,041329171;4,688683294;no
180926_ES3_1_x63_zstack_9;1;3,376789126;2,487113955;4,193857487;no
180926_ES3_1_x63_zstack_9;2;3,376789126;2,144395193;4,00014194;no
180926_ES3_1_x63_zstack_9;3;3,65818822;1,654597347;4,014976143;no
180926_ES3_1_x63_zstack_9;4;3,65818822;5,930854174;6,968312011;no
180926_ES3_1_x63_zstack_9;5;3,095390032;2,644695119;4,071345198;no
181004_ES3_367_x63_zstack_1;1;3,095390032;2,380866993;3,905120624;no
181004_ES3_367_x63_zstack_1;2;2,532591844;1,767876652;3,088593419;no
181004_ES3_367_x63_zstack_1;3;2,813990938;2,863196243;4,014528331;no
181004_ES3_367_x63_zstack_1;4;2,532591844;1,637505034;3,015865412;no
181004_ES3_367_x63_zstack_1;5;3,65818822;3,245470875;4,890339687;no
181004_ES3_367_x63_zstack_10;1;2,532591844;2,872983133;3,829889494;no
181004_ES3_367_x63_zstack_10;2;2,532591844;2,014646438;3,236173932;no
181004_ES3_367_x63_zstack_2;1;2,813990938;2,224177113;3,586852218;yes
181004_ES3_367_x63_zstack_2;2;3,65818822;3,124151333;4,810682135;no
181004_ES3_367_x63_zstack_2;3;2,813990938;2,456551932;3,73539722;no
181004_ES3_367_x63_zstack_2;4;2,813990938;2,49195526;3,758774537;no
181004_ES3_367_x63_zstack_2;5;3,376789126;2,001212138;3,92524583;no
181004_ES3_367_x63_zstack_2;6;3,65818822;2,060928881;4,198781836;no
181004_ES3_367_x63_zstack_3;1;3,095390032;2,441900878;3,942628482;no
181004_ES3_367_x63_zstack_3;2;2,813990938;1,59022102;3,232235742;yes
181004_ES3_367_x63_zstack_3;3;2,251192751;1,563078964;2,740635811;yes
181004_ES3_367_x63_zstack_3;4;1,969793657;1,870600471;2,716474401;yes
181004_ES3_367_x63_zstack_4;1;2,251192751;1,67278204;2,804651235;no
181004_ES3_367_x63_zstack_4;2;2,532591844;2,204734822;3,357808375;no
181004_ES3_367_x63_zstack_4;3;2,813990938;1,769145483;3,323916476;no
181004_ES3_367_x63_zstack_4;4;2,251192751;3,100196581;3,831329748;no
181004_ES3_367_x63_zstack_4;5;2,813990938;2,77821249;3,954365896;no
181004_ES3_367_x63_zstack_4;6;2,251192751;1,560545437;2,739191643;no
181004_ES3_367_x63_zstack_5;1;2,251192751;2,462992214;3,336794786;no
181004_ES3_367_x63_zstack_5;2;2,251192751;3,358842531;4,043475231;no
181004_ES3_367_x63_zstack_5;3;1,688394563;1,917859347;2,555163532;yes
181004_ES3_367_x63_zstack_5;4;1,688394563;1,777232918;2,451373706;yes
181004_ES3_367_x63_zstack_5;5;2,251192751;6,12638748;6,526905266;yes
181004_ES3_367_x63_zstack_5;6;2,532591844;3,189324839;4,072568524;no
181004_ES3_367_x63_zstack_6;1;3,376789126;1,098235213;3,550890787;no
181004_ES3_367_x63_zstack_6;2;1,969793657;4,095144013;4,544259185;no
181004_ES3_367_x63_zstack_6;3;2,813990938;3,780241794;4,712618489;no
181004_ES3_367_x63_zstack_6;4;3,65818822;2,146647693;4,24151357;yes
181004_ES3_367_x63_zstack_6;5;1,969793657;2,336600865;3,056107107;yes
181004_ES3_367_x63_zstack_6;6;2,251192751;2,600795029;3,439767955;no
181004_ES3_367_x63_zstack_6;7;1,969793657;2,004138874;2,810099585;yes
181004_ES3_367_x63_zstack_6;8;2,813990938;2,247114443;3,601120426;no
181004_ES3_367_x63_zstack_6;9;1,688394563;2,343564425;2,888420055;yes
181004_ES3_367_x63_zstack_6;10;3,095390032;2,011535213;3,691573291;no
181004_ES3_367_x63_zstack_6;11;2,251192751;2,152498923;3,114662167;no
181004_ES3_367_x63_zstack_6;12;2,532591844;2,970046065;3,903228802;no
181004_ES3_367_x63_zstack_6;13;2,813990938;3,521160909;4,507451513;no
181004_ES3_367_x63_zstack_6;14;2,251192751;1,456218919;2,681127065;no
181004_ES3_367_x63_zstack_7;1;2,813990938;2,534780108;3,787301836;no
181004_ES3_367_x63_zstack_7;2;3,376789126;2,24583695;4,055427031;no
181004_ES3_367_x63_zstack_7;3;2,813990938;3,279327804;4,321172971;no
181004_ES3_367_x63_zstack_7;4;2,813990938;2,283561335;3,623975355;no
181004_ES3_367_x63_zstack_7;5;2,532591844;2,891946278;3,844135107;no
181004_ES3_367_x63_zstack_7;6;2,251192751;1,323226678;2,611282758;no
181004_ES3_367_x63_zstack_7;7;2,251192751;2,674210256;3,495607143;no
181004_ES3_367_x63_zstack_8;1;2,813990938;1,100367006;3,021481846;no
181004_ES3_367_x63_zstack_8;2;3,65818822;3,542964518;5,092635725;no
181004_ES3_367_x63_zstack_8;3;3,65818822;1,557789098;3,976059346;no
181004_ES3_367_x63_zstack_9;1;6,190780064;2,354066413;6,623245917;no
181004_ES3_367_x63_zstack_9;2;6,190780064;3,304432429;7,017480422;yes
181004_ES3_367_x63_zstack_9;3;6,190780064;1,918980008;6,481376557;no
181005_ES3_365_x63_zstack_1;1;3,095390032;1,352020876;3,377780321;no
181005_ES3_365_x63_zstack_1;2;3,939587313;1,757176341;4,313701067;no
181005_ES3_365_x63_zstack_1;3;3,376789126;1,322585068;3,626559811;no
181005_ES3_365_x63_zstack_1;4;2,532591844;1,104672801;2,763027949;no
181005_ES3_365_x63_zstack_1;5;3,939587313;3,508099033;5,275140475;no
181005_ES3_365_x63_zstack_1;6;2,532591844;2,249052298;3,387072141;no
181005_ES3_365_x63_zstack_1;7;3,095390032;1,099188129;3,284760873;no
181005_ES3_365_x63_zstack_1;8;2,532591844;2,317176206;3,432685104;no
181005_ES3_365_x63_zstack_1;9;3,376789126;1,757470311;3,806758029;no
181005_ES3_365_x63_zstack_2;1;4,502385501;1,546532514;4,760592192;no
181005_ES3_365_x63_zstack_2;2;2,813990938;1,098235213;3,02070614;no
181005_ES3_365_x63_zstack_2;3;3,095390032;1,84551389;3,603798131;no
181005_ES3_365_x63_zstack_2;4;3,095390032;1,979978743;3,674473469;no
181005_ES3_365_x63_zstack_2;5;2,813990938;2,237078731;3,594866652;no
181005_ES3_365_x63_zstack_2;6;5,065183689;7,796348924;9,297265315;yes
181005_ES3_365_x63_zstack_2;7;2,813990938;2,28287424;3,623542437;no
181005_ES3_365_x63_zstack_2;8;2,532591844;1,319769154;2,855838243;no
181005_ES3_365_x63_zstack_2;9;3,376789126;1,541901946;3,712164653;no
181005_ES3_365_x63_zstack_2;10;3,65818822;1,822782966;4,087160236;no
181005_ES3_365_x63_zstack_2;11;3,939587313;1,338483583;4,160755521;no
181005_ES3_365_x63_zstack_2;12;3,376789126;1,667056999;3,765870927;no
181005_ES3_365_x63_zstack_2;13;4,220986407;1,317882255;4,421938476;no
181005_ES3_365_x63_zstack_2;14;3,095390032;1,780974663;3,571177705;no
181005_ES3_365_x63_zstack_2;15;5,627981876;1,537643652;5,834254708;no
181005_ES3_365_x63_zstack_2;16;3,376789126;1,997361274;3,923283938;no
181005_ES3_365_x63_zstack_3;1;2,251192751;1,578714392;2,749583229;no
181005_ES3_365_x63_zstack_3;2;1,969793657;2,916586885;3,519455371;no
181005_ES3_365_x63_zstack_3;3;1,969793657;2,937673206;3,53694938;no
181005_ES3_365_x63_zstack_3;4;2,532591844;2,375004221;3,471983079;no
181005_ES3_365_x63_zstack_3;5;1,969793657;2,031533096;2,829702064;no
181005_ES3_365_x63_zstack_3;6;2,532591844;2,374229521;3,471453192;no
181005_ES3_365_x63_zstack_3;7;2,813990938;2,162353818;3,548847564;no
181005_ES3_365_x63_zstack_3;8;1,969793657;2,393376316;3,099731801;no
181005_ES3_365_x63_zstack_3;9;2,251192751;2,092561774;3,073545766;no
181005_ES3_365_x63_zstack_3;10;2,532591844;2,284823565;3,410929517;no
