"fileName";"Microscopy_system";"dim_x";"dim_y";"dim_z";"number_of_channels";"scaling_x";"scaling_y";"scaling_z";"scanning_mode";"averaging";"emission_wavelengths_red";"emission_wavelengths_green";"emission_wavelengths_blue";"laser_power_red";"laser_power_green";"laser_power_blue";"laser_attenuation_red";"laser_attenuation_green";"laser_attenuation_blue";"laser_transmission_red";"laser_transmission_green";"laser_transmission_blue";"pixel_time_red";"pixel_time_green";"pixel_time_blue";"photon_conversion_factor_red";"photon_conversion_factor_green";"photon_conversion_factor_blue";"detector_gain_red";"detector_gain_green";"detector_gain_blue";"amplifier_gain_red";"amplifier_gain_green";"amplifier_gain_blue";"amplifier_offset_red";"amplifier_offset_green";"amplifier_offset_blue";"pinhole_diameter_red";"pinhole_diameter_green";"pinhole_diameter_blue";"detection_range_wavelength_red_lower";"detection_range_wavelength_red_upper";"detection_range_wavelength_green_lower";"detection_range_wavelength_green_upper";"detection_range_wavelength_blue_lower";"detection_range_wavelength_blue_upper"
"180926_ES3_1_x63_zstack_10.czi";"LSM 780, AxioObserver";1024;1024;9;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"180926_ES3_1_x63_zstack_11.czi";"LSM 780, AxioObserver";1024;1024;31;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"180926_ES3_1_x63_zstack_12.czi";"LSM 780, AxioObserver";1024;1024;17;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"180926_ES3_1_x63_zstack_13.czi";"LSM 780, AxioObserver";1024;1024;25;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"180926_ES3_1_x63_zstack_8.czi";"LSM 780, AxioObserver";1024;1024;27;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"180926_ES3_1_x63_zstack_9.czi";"LSM 780, AxioObserver";1024;1024;45;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_1.czi";"LSM 780, AxioObserver";1024;1024;35;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_10.czi";"LSM 780, AxioObserver";1024;1024;17;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_2.czi";"LSM 780, AxioObserver";1024;1024;33;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_3.czi";"LSM 780, AxioObserver";1024;1024;19;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_4.czi";"LSM 780, AxioObserver";1024;1024;15;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_5.czi";"LSM 780, AxioObserver";1024;1024;13;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_6.czi";"LSM 780, AxioObserver";1024;1024;19;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_7.czi";"LSM 780, AxioObserver";1024;1024;17;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
"181004_ES3_367_x63_zstack_8.czi";"LSM 780, AxioObserver";1024;1024;19;3;0,219647042583026;0,219647042583026;0,281399093816734;"Frame";"4";696,5;NA;452,5;25;NA;5;0,841210191082802;NA;0,978;0,158789808917197;NA;0,022;1,57575757575758;NA;1,57575757575758;893,393720304429;NA;893,393720304429;643;NA;613;1;NA;1;-2;NA;-20;25,569;NA;89,802585;638;755;NA;NA;410;495
