"fileName";"numberOfNuclei";"corrected_number"
"180926_ES3_1_x63_zstack_10";1;NA
"180926_ES3_1_x63_zstack_11";22;NA
"180926_ES3_1_x63_zstack_12";3;NA
"180926_ES3_1_x63_zstack_13";42;NA
"180926_ES3_1_x63_zstack_8";16;NA
"180926_ES3_1_x63_zstack_9";7;NA
"181004_ES3_367_x63_zstack_1";7;NA
"181004_ES3_367_x63_zstack_10";3;NA
"181004_ES3_367_x63_zstack_2";8;NA
"181004_ES3_367_x63_zstack_3";7;NA
"181004_ES3_367_x63_zstack_4";6;NA
"181004_ES3_367_x63_zstack_5";10;NA
"181004_ES3_367_x63_zstack_6";19;NA
"181004_ES3_367_x63_zstack_7";11;NA
"181004_ES3_367_x63_zstack_8";4;NA
"181004_ES3_367_x63_zstack_9";9;NA
"181005_ES3_365_x63_zstack_1";11;NA
"181005_ES3_365_x63_zstack_2";22;NA
"181005_ES3_365_x63_zstack_3";19;NA
"181005_ES3_365_x63_zstack_4";39;NA
"181005_ES3_365_x63_zstack_5";44;NA
"181005_ES3_365_x63_zstack_6";5;NA
"181005_ES3_368_x63_zstack_1";4;NA
"181005_ES3_368_x63_zstack_10";21;NA
"181005_ES3_368_x63_zstack_2";5;NA
"181005_ES3_368_x63_zstack_3";5;NA
"181005_ES3_368_x63_zstack_4";4;NA
"181005_ES3_368_x63_zstack_5";4;NA
"181005_ES3_368_x63_zstack_6";4;NA
"181005_ES3_368_x63_zstack_7";3;NA
"181005_ES3_368_x63_zstack_8";11;NA
"181005_ES3_368_x63_zstack_9";9;NA
"181017_ES3_365_x63_zstack_1";4;NA
"181017_ES3_365_x63_zstack_2";3;NA
"181017_ES3_365_x63_zstack_3";2;NA
"181017_ES3_365_x63_zstack_4";2;NA
"181017_ES3_365_x63_zstack_5";7;NA
"181017_ES3_365_x63_zstack_6";3;NA
"181017_ES3_365_x63_zstack_7";7;NA
"190730_EV38_1_Kollagen mit WF_63x_zstack_1";33;NA
"190730_EV38_1_Kollagen mit WF_63x_zstack_2";37;NA
"190730_EV38_1_Kollagen mit WF_63x_zstack_3";36;NA
"190730_EV38_1_Kollagen mit WF_63x_zstack_4";35;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_1";32;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_2";33;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_3";31;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_4";29;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_5";25;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_6";23;NA
"190731_EV38_1_Kollagen mit WF_63x_zstack_7";27;NA
"190802_EV38_1_Glas mit WF_63x_zstack_7";1;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_10";36;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_11";37;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_12";31;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_13";26;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_14";23;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_8";21;NA
"190802_EV38_1_Kollagen mit Asc+Dexa_63x_zstack_9";21;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_1";0;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_2";21;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_3";19;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_4";19;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_5";30;NA
"190802_EV38_1_Kollagen mit WF_63x_zstack_6";30;NA
"190808_EV38_1_Kollagen mit FKS_63x_zstack_10";63;NA
"190808_EV38_1_Kollagen mit FKS_63x_zstack_11";41;NA
"190808_EV38_1_Kollagen mit FKS_63x_zstack_7";42;NA
"190808_EV38_1_Kollagen mit FKS_63x_zstack_8";56;NA
"190808_EV38_1_Kollagen mit FKS_63x_zstack_9";39;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_1";25;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_2";16;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_3";10;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_4";5;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_5";9;NA
"190808_EV38_1_Kollagen nur Asc_63x_zstack_6";11;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10";27;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11";24;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12";20;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6";34;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7";33;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8";30;NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9";26;NA
"190815_EV38_2_Kollagen mit WF_63x_zstack_1";16;NA
"190815_EV38_2_Kollagen mit WF_63x_zstack_2";27;NA
"190815_EV38_2_Kollagen mit WF_63x_zstack_3";35;NA
"190815_EV38_2_Kollagen mit WF_63x_zstack_4";34;NA
"190815_EV38_2_Kollagen mit WF_63x_zstack_5";25;NA
