fileName;cilium;vertical_length_in_um;vertical_length_in_layers;horizontal_length_in_um;horizontal_length_in_pixels;total_length_in_um;to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;1;1,969793657;7;1,323339197;6,02484414;2,373038913;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;2;1,688394563;6;1,864369041;8,488022509;2,515263032;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;3;1,688394563;6;1,452950743;6,61493424;2,227496815;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;4;2,251192751;8;1,687260469;7,681689904;2,813310628;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;5;2,532591844;9;1,433646945;6,527048707;2,910217348;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;6;3,65818822;13;1,766582473;8,04282385;4,062407498;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;7;2,532591844;9;2,272270375;10,34509888;3,402533483;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;8;2,532591844;9;0,904864546;4,119630002;2,689386788;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;9;1,969793657;7;1,600917801;7,288592564;2,538311418;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;10;3,65818822;13;1,845125722;8,400412317;4,097173413;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;11;2,251192751;8;1,490826162;6,787371889;2,700079896;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;12;3,095390032;11;1,561750761;7,110274476;3,467059978;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;13;2,251192751;8;0,664522846;3,025412219;2,347223767;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;14;2,532591844;9;1,548897478;7,051756581;2,968687395;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;15;2,813990938;10;1,487373161;6,771651208;3,182895525;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;16;1,969793657;7;0,671883704;3,058924426;2,081229147;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;17;1,969793657;7;0,661187627;3,010227767;2,077800791;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;18;2,532591844;9;1,790704697;8,15264652;3,101716422;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;19;2,532591844;9;1,334154595;6,074084039;2,862514617;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;20;2,813990938;10;1,540892291;7,015310894;3,20825405;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;21;2,532591844;9;1,405307069;6,398024087;2,896361408;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;22;3,376789126;12;1,130900044;5,148715095;3,561128994;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;23;1,406995469;5;0,684703942;3,117291878;1,56475421;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;24;2,813990938;10;2,86004774;13,02110744;4,012283399;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;25;2,813990938;10;2,286682039;10,41071171;3,625942601;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;1;3,939587313;14;2,09759142;9,549827739;4,46320938;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;2;3,939587313;14;1,108907894;5,048590141;4,09267943;no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;3;3,376789126;12;1,321085755;6,014584762;3,626013289;no
