fileName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,1,TRUE,40,1.9,16,1,7,7,1.97,9,1.98,2.8,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,2,TRUE,53,2.6,16,1,6,6,1.69,10.5,2.32,2.87,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,3,TRUE,38,1.8,16,1,6,6,1.69,9.2,2.03,2.64,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,4,TRUE,33,1.6,16,1,7,7,1.97,7.7,1.69,2.6,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,5,TRUE,39,1.9,16,1,8,8,2.25,8.6,1.9,2.94,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,6,TRUE,21,1,16,6,13,8,2.25,8,1.77,2.86,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,7,TRUE,49,2.4,16,1,8,8,2.25,12.4,2.72,3.53,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,8,TRUE,43,2.1,16,1,9,9,2.53,8,1.76,3.08,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,9,TRUE,26,1.3,16,1,5,5,1.41,8.1,1.78,2.27,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,10,TRUE,36,1.7,16,1,7,7,1.97,9.2,2.02,2.82,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,11,TRUE,52,2.5,16,1,12,12,3.38,10.3,2.27,4.07,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,12,TRUE,31,1.5,16,1,8,8,2.25,7.6,1.68,2.81,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,13,TRUE,43,2.1,16,1,9,9,2.53,9.3,2.05,3.26,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,14,TRUE,26,1.3,16,1,9,9,2.53,8.4,1.84,3.13,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,15,TRUE,61,2.9,16,1,11,11,3.1,10.4,2.28,3.84,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,16,TRUE,21,1,16,1,7,7,1.97,7,1.54,2.5,
