fileName,numberOfNuclei,corrected_number
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,33,NA
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,36,NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,33,NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,26,NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,23,NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,24,NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_5.czi,27,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,21,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,41,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_3.czi,29,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_4.czi,23,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_5.czi,23,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,20,NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,27,NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_1.czi,41,NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_2.czi,55,NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_3.czi,39,NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_4.czi,60,NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_5.czi,39,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_1.czi,23,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_2.czi,17,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_3.czi,11,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_4.czi,5,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_5.czi,7,NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_6.czi,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi,34,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi,31,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_3.czi,32,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_4.czi,27,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_5.czi,27,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi,36,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,34,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_5.czi,24,NA
