fileName;number_Of_nuclei;mean_nuclei_projection_area_in_pixels;mean_nuclei_projection_equivalent_diameter_in_um;corrected_number
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;34;3999;15,7;NA
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;34;3891;15,5;NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;25;3904;15,5;NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;20;4153;16,0;NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi;25;4276;16,2;NA
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi;28;4148;16,0;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi;22;3668;15,0;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi;35;3180;14,0;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_3.czi;30;3240;14,1;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_4.czi;23;3732;15,1;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_5.czi;25;3428;14,5;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;18;4693;17,0;NA
190802_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;25;3917;15,5;NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_1.czi;42;3954;15,6;NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_2.czi;52;4073;15,8;NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_3.czi;39;3824;15,3;NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_4.czi;61;3724;15,1;NA
190808_EV38_1_Collagen_FBSwithAsc_63x_zstack_5.czi;37;4324;16,3;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_1.czi;24;3370;14,4;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_2.czi;19;3432;14,5;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_3.czi;27;2749;13,0;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_4.czi;25;2653;12,8;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_5.czi;23;2777;13,1;NA
190808_EV38_1_Collagen_ITSwithAsc_63x_zstack_6.czi;32;2512;12,4;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi;36;2939;13,4;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi;30;3262;14,2;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_3.czi;26;3459;14,6;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_4.czi;24;3564;14,8;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_5.czi;27;3473;14,6;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi;26;3297;14,2;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi;24;3424;14,5;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;17;4676;16,9;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;25;4129;15,9;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi;32;3691;15,1;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi;36;3737;15,2;NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_5.czi;27;4096;15,9;NA
