fileName,Original_function_call,input_dir_tif,input_file_czi,cilium_color,nucleus_color,projection_method,threshold_by_density_of_cilium_pixels,threshold_find,threshold_connect,vicinity_combine,vicinity_connect,min_cilium_area,max_cilium_area,number_size_factor,pixel_size,slice_distance,nuc_mask_width_heigth
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,detectCilia::detectCilia(input_file_czi = file_names_czi[1]),NA,E:/PhD/Daten/Cilia/allImages/190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,red,blue,mean,TRUE,0.014526588845655,0.0053921568627451,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,red,blue,mean,TRUE,0.00779736018921187,0.00252100840336134,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,red,blue,mean,TRUE,0.0119325551232166,0.00392156862745098,23,1,2,46,NA,0.219647042583026,0.316066370330455,207
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi,red,blue,mean,TRUE,0.00779736018921187,0.00261437908496732,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_5.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_5.czi,red,blue,mean,TRUE,0.00779736018921187,0.00168067226890756,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_6.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_6.czi,red,blue,mean,TRUE,0.00779736018921187,0.00261437908496732,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_7.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_7.czi,red,blue,mean,TRUE,0.00779736018921187,0.00123249299719888,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,red,blue,mean,TRUE,0.00779736018921187,0.00237358101135191,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_12.czi,red,blue,mean,TRUE,0.00779736018921187,0.00326797385620915,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_13.czi,detectCilia(input_file_czi = i),NA,E:/PhD/Daten/Cilia/allImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_13.czi,red,blue,mean,TRUE,0.0126802471961547,0.00606060606060606,23,1,2,46,NA,0.219647042583026,0.281399093816734,207
