Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;red;blue;max;TRUE;0,0235294117647059;0,00235294117647058;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;red;blue;max;TRUE;0,0196078431372549;0,00196078431372549;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;red;blue;max;TRUE;0,0196078431372549;0,00196078431372549;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi;red;blue;max;TRUE;0,0196078431372549;0,00196078431372549;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_3.czi;red;blue;max;TRUE;0,0196078431372549;0,00196078431372549;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_4.czi;red;blue;max;TRUE;0,0156862745098039;0,00156862745098039;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_1.czi;red;blue;max;TRUE;0,0235294117647059;0,00235294117647058;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_2.czi;red;blue;max;TRUE;0,0274509803921569;0,00274509803921568;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_3.czi;red;blue;max;TRUE;0,0274509803921569;0,00274509803921568;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
"detectCilia::detectCilia(input_file_czi = file_names_czi[i], cilium_color = ""red"", nucleus_color = ""blue"", projection_method_for_threshold_calculation = ""max"", threshold_by_density_of_cilium_pixels = TRUE, use_histogram_equalization_for_threshold_calculation = FALSE)";NA;E:/PhD/Data/Cilia/cultivationImages/190802_EV38_1_Collagen_ITSwithAsc+Dexa_63x_zstack_4.czi;red;blue;max;TRUE;0,0313725490196078;0,00313725490196078;6;1;5;104;NA;0,219647042583026;0,281399093816734;207
