fileName;cilium;cilium_shape;cilium_projection_area_in_pixels;cilium_projection_area_in_um2;number_of_z_stack_layers;lowest_cilium_layer;uppermost_cilium_layer;vertical_length_in_layers;vertical_length_in_um;horizontal_length_in_pixels;horizontal_length_in_um;total_length_in_um;to_be_removed
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;1;TRUE;38;0,7;15;3;7;5;1,4050;9,0;1,248000000;1,879000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;2;TRUE;65;1,2;15;2;7;6;1,6860;19,8;2,746000000;3,222000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;3;TRUE;48;0,9;15;3;7;5;1,4050;11,7;1,619000000;2,144000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;4;TRUE;38;0,7;15;3;7;5;1,4050;11,1;1,531000000;2,078000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;5;TRUE;44;0,8;15;2;7;6;1,6860;15,6;2,158000000;2,739000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;6;TRUE;35;0,7;15;3;8;6;1,6860;10,8;1,488000000;2,249000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;7;TRUE;32;0,6;15;3;7;5;1,4050;11,3;1,564000000;2,103000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;8;TRUE;37;0,7;15;6;11;6;1,6860;10,5;1,455000000;2,227000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;9;TRUE;39;0,7;15;4;8;5;1,4050;13,5;1,873000000;2,342000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;10;TRUE;36;0,7;15;3;8;6;1,6860;12,0;1,662000000;2,367000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;11;TRUE;32;0,6;15;4;8;5;1,4050;8,6;1,194000000;1,844000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;12;TRUE;54;1,0;15;4;9;6;1,6860;17,3;2,392000000;2,926000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;1;TRUE;21;1,0;13;2;4;3;1,2900;7,0;1,540000000;2,010000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;2;TRUE;37;1,8;13;2;5;4;1,7200;8,3;1,830000000;2,510000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;3;FALSE;30;1,4;13;2;5;4;1,7200;7,2;1,570000000;2,330000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;4;TRUE;62;3,0;13;2;5;4;1,7200;12,2;2,690000000;3,190000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;5;TRUE;62;3,0;13;2;6;5;2,1500;13,3;2,930000000;3,630000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;6;TRUE;50;2,4;13;2;5;4;1,7200;10,0;2,200000000;2,790000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;7;TRUE;53;2,6;13;2;6;5;2,1500;9,4;2,070000000;2,980000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;8;TRUE;47;2,3;13;3;6;4;1,7200;11,3;2,480000000;3,020000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;9;FALSE;21;1,0;13;2;5;4;1,7200;5,1;1,120000000;2,050000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;10;FALSE;27;1,3;13;2;5;4;1,7200;6,0;1,320000000;2,170000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;11;TRUE;29;1,4;13;2;5;4;1,7200;9,0;1,970000000;2,620000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;12;TRUE;40;1,9;13;2;5;4;1,7200;9,0;1,980000000;2,620000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;13;FALSE;21;1,0;13;2;5;4;1,7200;6,0;1,330000000;2,170000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;14;TRUE;66;3,2;13;2;5;4;1,7200;10,3;2,270000000;2,850000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;15;FALSE;23;1,1;13;2;5;4;1,7200;6,0;1,320000000;2,170000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;16;FALSE;46;2,2;13;3;6;4;1,7200;9,0;1,980000000;2,620000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;17;FALSE;39;1,9;13;2;5;4;1,7200;8,2;1,800000000;2,490000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;18;TRUE;43;2,1;13;3;7;5;2,1500;10,3;2,250000000;3,110000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;19;FALSE;19;0,9;13;3;5;3;1,2900;5,0;1,100000000;1,700000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;20;FALSE;36;1,7;13;2;5;4;1,7200;7,1;1,560000000;2,320000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;21;TRUE;49;2,4;13;3;6;4;1,7200;9,1;2,000000000;2,640000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;22;TRUE;50;2,4;13;3;5;3;1,2900;12,0;2,650000000;2,940000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;23;TRUE;46;2,2;13;3;6;4;1,7200;8,6;1,890000000;2,550000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;24;TRUE;71;3,4;13;3;7;5;2,1500;11,3;2,490000000;3,290000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;25;FALSE;24;1,2;13;3;6;4;1,7200;6,0;1,320000000;2,170000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;26;TRUE;30;1,4;13;3;6;4;1,7200;8,3;1,820000000;2,500000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;1;TRUE;123;1,5;13;1;1;1;0,4298;16,2;1,781500000;1,832600000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;2;FALSE;245;3,0;13;1;2;2;0,8596;18,3;2,005000000;2,181500000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;3;TRUE;131;1,6;13;1;1;1;0,4298;16,3;1,789700000;1,840600000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;4;TRUE;252;3,0;13;1;2;2;0,8596;25,6;2,816600000;2,944900000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;5;TRUE;132;1,6;13;1;1;1;0,4298;19,5;2,140700000;2,183500000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;6;TRUE;144;1,7;13;1;1;1;0,4298;20,5;2,252000000;2,292700000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;7;FALSE;182;2,2;13;1;1;1;0,4298;18,2;2,004200000;2,049800000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;8;TRUE;154;1,9;13;1;2;2;0,8596;15,0;1,648100000;1,858800000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;9;TRUE;319;3,8;13;1;2;2;0,8596;26,8;2,946900000;3,069700000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;10;TRUE;121;1,5;13;1;1;1;0,4298;18,0;1,977200000;2,023300000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;11;FALSE;146;1,8;13;1;1;1;0,4298;14,4;1,579500000;1,637000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;12;TRUE;207;2,5;13;1;2;2;0,8596;19,7;2,162100000;2,326700000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;13;FALSE;89;1,1;13;1;1;1;0,4298;11,0;1,208400000;1,282500000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;14;FALSE;134;1,6;13;1;1;1;0,4298;13,0;1,432300000;1,495400000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;15;TRUE;158;1,9;13;1;1;1;0,4298;18,3;2,013100000;2,058500000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;16;TRUE;189;2,3;13;1;1;1;0,4298;22,2;2,440300000;2,477900000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;17;TRUE;185;2,2;13;1;1;1;0,4298;19,0;2,088800000;2,132500000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;18;TRUE;73;0,9;13;1;1;1;0,4298;14,0;1,535000000;1,594000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;19;TRUE;114;1,4;13;1;1;1;0,4298;15,1;1,659100000;1,713900000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;20;TRUE;110;1,3;13;1;1;1;0,4298;14,3;1,575800000;1,633300000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;21;FALSE;135;1,6;13;1;2;2;0,8596;13,4;1,471700000;1,704400000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;22;TRUE;100;1,2;13;1;1;1;0,4298;14,1;1,546800000;1,605400000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;23;TRUE;118;1,4;13;1;1;1;0,4298;15,4;1,686800000;1,740700000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;1;TRUE;22;1,1;17;3;8;6;1,6900;6,9;1,510000000;2,260000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;2;TRUE;26;1,3;17;3;8;6;1,6900;7,4;1,630000000;2,350000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;3;TRUE;26;1,3;17;3;9;7;1,9700;7,8;1,720000000;2,610000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;4;TRUE;17;0,8;17;4;9;6;1,6900;7,0;1,540000000;2,280000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;5;TRUE;21;1,0;17;3;8;6;1,6900;8,5;1,880000000;2,520000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;6;TRUE;35;1,7;17;3;9;7;1,9700;9,8;2,160000000;2,920000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;7;TRUE;35;1,7;17;3;9;7;1,9700;11,0;2,420000000;3,120000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;8;TRUE;24;1,2;17;4;8;5;1,4100;7,0;1,530000000;2,080000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;9;TRUE;14;0,7;17;6;11;6;1,6900;5,0;1,100000000;2,010000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;10;TRUE;21;1,0;17;4;9;6;1,6900;9,6;2,120000000;2,710000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;11;TRUE;22;1,1;17;4;9;6;1,6900;7,2;1,570000000;2,300000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;12;TRUE;22;1,1;17;5;10;6;1,6900;7,2;1,580000000;2,310000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;13;TRUE;22;1,1;17;4;9;6;1,6900;8,6;1,890000000;2,530000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;14;TRUE;28;1,4;17;4;10;7;1,9700;10,0;2,190000000;2,940000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;15;TRUE;15;0,7;17;5;10;6;1,6900;5,8;1,270000000;2,110000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;16;TRUE;17;0,8;17;6;10;5;1,4100;6,3;1,380000000;1,970000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;17;TRUE;29;1,4;17;5;10;6;1,6900;9,7;2,130000000;2,720000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;18;TRUE;28;1,4;17;4;9;6;1,6900;8,8;1,940000000;2,570000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;19;TRUE;22;1,1;17;4;9;6;1,6900;6,4;1,400000000;2,190000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;20;TRUE;27;1,3;17;4;9;6;1,6900;10,6;2,340000000;2,880000000;yes_or_no
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;21;TRUE;36;1,7;17;5;11;7;1,9700;12,2;2,680000000;3,320000000;yes_or_no
