fileName;cilium;vertical_length;horizontal_length;total_length;to_be_removed
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;1;2,149021052;3,21785194;3,869478336;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;2;1,289412631;1,78153602;2,19919429;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;3;1,719216842;1,978443826;2,621058283;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;4;1,719216842;2,428588361;2,975524823;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;5;1,719216842;2,014919905;2,648699449;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;6;1,719216842;2,896906139;3,368645385;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;7;1,289412631;1,589639419;2,046836197;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;8;1,289412631;1,757819776;2,180026445;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;9;1,719216842;1,578486977;2,333951089;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;10;1,289412631;1,580210519;2,039522056;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;11;1,719216842;1,318879457;2,166829382;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;12;1,289412631;1,319621328;1,844989264;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;13;1,289412631;1,377481662;1,886807002;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;14;1,719216842;1,404814119;2,220182258;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;15;1,719216842;1,356816875;2,190127526;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;16;2,149021052;1,820307798;2,816347273;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;17;2,149021052;2,479156123;3,280930747;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1;18;2,149021052;2,433200851;3,246345309;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;1;2,529;1,831577696;3,122581922;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;2;2,248;3,03857758;3,779743075;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;3;2,529;3,381981556;4,222989492;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;4;2,529;2,70744826;3,704877472;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;5;3,372;2,473743629;4,182079811;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;6;2,81;2,654313255;3,865420916;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;7;2,81;2,763253272;3,941023807;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;8;1,686;1,865636465;2,514596472;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;9;2,529;4,289028777;4,979117276;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;10;1,686;2,430385767;2,957933565;yes
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;11;3,091;3,973232775;5,033970569;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_100er_5;12;2,81;3,09663824;4,181538998;no
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok;1;3,091;1,549566248;3,457663453;no
