fileName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,1,TRUE,38,0.7,15,3,7,5,1.405,9,1.248,1.879,yes
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,2,TRUE,65,1.2,15,2,7,6,1.686,19.8,2.746,3.222,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,3,TRUE,48,0.9,15,3,7,5,1.405,11.7,1.619,2.144,yes
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,4,TRUE,38,0.7,15,3,7,5,1.405,11.1,1.531,2.078,yes
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,5,TRUE,44,0.8,15,2,7,6,1.686,15.6,2.158,2.739,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,6,TRUE,35,0.7,15,3,8,6,1.686,10.8,1.488,2.249,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,7,TRUE,32,0.6,15,3,7,5,1.405,11.3,1.564,2.103,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,8,TRUE,37,0.7,15,6,11,6,1.686,10.5,1.455,2.227,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,9,TRUE,39,0.7,15,4,8,5,1.405,13.5,1.873,2.342,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,10,TRUE,36,0.7,15,3,8,6,1.686,12,1.662,2.367,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,11,TRUE,32,0.6,15,4,8,5,1.405,8.6,1.194,1.844,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi,12,TRUE,54,1,15,4,9,6,1.686,17.3,2.392,2.926,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,1,TRUE,21,1,13,2,4,3,1.29,7,1.54,2.01,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,2,TRUE,37,1.8,13,2,5,4,1.72,8.3,1.83,2.51,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,3,FALSE,30,1.4,13,2,5,4,1.72,7.2,1.57,2.33,yes
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,4,TRUE,62,3,13,2,5,4,1.72,12.2,2.69,3.19,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,5,TRUE,62,3,13,2,6,5,2.15,13.3,2.93,3.63,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,6,TRUE,50,2.4,13,2,5,4,1.72,10,2.2,2.79,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,7,TRUE,53,2.6,13,2,6,5,2.15,9.4,2.07,2.98,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,8,TRUE,47,2.3,13,3,6,4,1.72,11.3,2.48,3.02,
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,9,FALSE,21,1,13,2,5,4,1.72,5.1,1.12,2.05,yes
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi,10,FALSE,27,1.3,13,2,5,4,1.72,6,1.32,2.17,yes
