"fileName";"acquisition_date";"acquisition_time";"microscopy_system";"color_system";"number_of_channels";"number_of_tracks";"objective";"objective_magnification";"dim_x";"dim_y";"dim_z";"scaling_x_in_um";"scaling_y_in_um";"scaling_z_in_um";"blue_channel";"green_channel";"red_channel";"channel_name_1";"channel_name_2";"channel_name_3";"track_id_channel_1";"track_id_channel_2";"track_id_channel_3";"contrast_method_channel_1";"contrast_method_channel_2";"contrast_method_channel_3";"fluorophore_channel_1";"fluorophore_channel_2";"fluorophore_channel_3";"pinhole_size_in_airy_unit_1";"pinhole_size_in_airy_unit_2";"pinhole_size_in_airy_unit_3";"pinhole_diameter_in_m_1";"pinhole_diameter_in_m_2";"pinhole_diameter_in_m_3";"detector_identifier_1";"detector_identifier_2";"detector_identifier_3";"detection_wavelength_start_channel_1_in_nm";"detection_wavelength_end_channel_1_in_nm";"detection_wavelength_start_channel_2_in_nm";"detection_wavelength_end_channel_2_in_nm";"detection_wavelength_start_channel_3_in_nm";"detection_wavelength_end_channel_3_in_nm";"excitation_wavelength_channel_1_in_nm";"excitation_wavelength_channel_2_in_nm";"excitation_wavelength_channel_3_in_nm";"emission_wavelength_channel_1_in_nm";"emission_wavelength_channel_2_in_nm";"emission_wavelength_channel_3_in_nm";"laser_scan_pixel_time_channel_1_in_ms";"laser_scan_pixel_time_channel_2_in_ms";"laser_scan_pixel_time_channel_3_in_ms";"laser_scan_line_time_channel_1_in_ms";"laser_scan_line_time_channel_2_in_ms";"laser_scan_line_time_channel_3_in_ms";"laser_scan_frame_time_channel_1_in_ms";"laser_scan_frame_time_channel_2_in_ms";"laser_scan_frame_time_channel_3_in_ms";"laser_scan_averaging_channel_1";"laser_scan_averaging_channel_2";"laser_scan_averaging_channel_3";"laser_scan_zoom_x_channel_1";"laser_scan_zoom_x_channel_2";"laser_scan_zoom_x_channel_3";"laser_scan_zoom_y_channel_1";"laser_scan_zoom_y_channel_2";"laser_scan_zoom_Y_channel_3";"photon_conversion_factor_channel_1";"photon_conversion_factor_channel_2";"photon_conversion_factor_channel_3";"detector_gain_channel_1";"detector_gain_channel_2";"detector_gain_channel_3";"digital_gain_channel_1";"digital_gain_channel_2";"digital_gain_channel_3";"amplifier_offset_channel_1";"amplifier_offset_channel_2";"amplifier_offset_channel_3";"laser_wavelength_track_1_in_nm";"laser_wavelength_track_2_in_nm";"laser_wavelength_track_3_in_nm";"laser_name_track_1";"laser_name_track_2";"laser_name_track_3";"laser_power_in_mW_track_1";"laser_power_in_mW_track_2";"laser_power_in_mW_track_3";"laser_transmission_track_1";"laser_transmission_track_2";"laser_transmission_track_3"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi";"2021-03-01";"18:05:09";"LSM 780, AxioObserver";"Channels";2;2;"alpha Plan-Apochromat 100x/1.46 Oil DIC M27 Elyra";100;1024;1024;15;0,138377636827306;0,138377636827306;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;1,37182119548954;0,552359344015157;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;1,57575757575758;1,57575757575758;NA;30;30;NA;7,74516363636364;7,74516363636364;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;667,425543041302;667,425543041302;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi";"2021-03-01";"11:19:27";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;1024;1024;13;0,219647042583026;0,219647042583026;0,429804210436651;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152447;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;1,57575757575758;1,57575757575758;NA;30;30;NA;7,74516363636364;7,74516363636364;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;667,425543041302;667,425543041302;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi";"2021-03-01";"11:30:51";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;2048;2048;13;0,109823521291513;0,109823521291513;0,429804210436651;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152447;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;3,15151515151515;3,15151515151515;NA;30;30;NA;247,845236363636;247,845236363636;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;1334,8510860826;1334,8510860826;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi";"2021-03-01";"17:27:12";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;1024;1024;17;0,219647042583026;0,219647042583026;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;1,57575757575758;1,57575757575758;NA;30;30;NA;15,4903272727318;15,4903272727318;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;667,425543041302;667,425543041302;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi";"2021-03-01";"17:08:41";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;2048;2048;17;0,109823521291513;0,109823521291513;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;0,787878787878788;0,787878787878788;NA;30;30;NA;30,9806545454545;30,9806545454545;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;333,712771520651;333,712771520651;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_1024x1024.czi";"2021-03-01";"16:55:07";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;1024;1024;18;0,219647042583026;0,219647042583026;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;1,57575757575758;1,57575757575758;NA;30;30;NA;15,4903272727318;15,4903272727318;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;667,425543041302;667,425543041302;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_4096x4096.czi";"2021-03-01";"16:16:38";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;4096;4096;18;0,0549117606457566;0,0549117606457566;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;0,393939393939394;0,393939393939394;NA;30;30;NA;991,380945454546;991,380945454546;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;166,856385760325;166,856385760325;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_1024x1024.czi";"2021-03-01";"15:07:05";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;1024;1024;19;0,219647042583026;0,219647042583026;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;0,787878787878788;0,787878787878788;NA;30;30;NA;15,4903272727318;15,4903272727318;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;333,712771520651;333,712771520651;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_2048x2048.czi";"2021-03-01";"14:39:42";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;2048;2048;19;0,109823521291513;0,109823521291513;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;0,787878787878788;0,787878787878788;NA;30;30;NA;30,9806545454545;30,9806545454545;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;333,712771520651;333,712771520651;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_4096x4096.czi";"2021-03-01";"15:32:53";"LSM 780, AxioObserver";"Channels";2;2;"Plan-Apochromat 63x/1.40 Oil DIC M27";63;4096;4096;19;0,0549117606457566;0,0549117606457566;0,281;1;NA;2;"Ch1-T1";"Ch2-T2";NA;"Track:0";"Track:1";NA;"Fluorescence";"Fluorescence";NA;"DAPI";"Alexa Fluor 647";NA;2,08800790789884;0,840729595152446;NA;9,00926e-05;5,58362e-05;NA;"DescannedPmt1";"DescannedPmt2";NA;410;495;638;755;NA;NA;405;633;NA;452,5;696,5;NA;0,393939393939394;0,393939393939394;NA;30;30;NA;247,845236363636;247,845236363636;NA;4;4;NA;0,6;0,6;NA;0,6;0,6;NA;166,856385760325;166,856385760325;NA;620;670;NA;1;1;NA;-20;-4;NA;405;633;NA;"Diode 405-30";"HeNe633";NA;0,03;0,005;NA;0,022;0,16;NA
