fileName;Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area;max_cilium_area;number_size_factor;pixel_size;slice_distance;nuc_mask_width_heigth
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_100x_z-stack_5_1024x1024.czi;red;blue;mean;TRUE;0,0230716411078050;0,01045751633986930;37;2;3;73;NA;0,1383776368273060;0,281000000000000;327
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi;red;blue;mean;TRUE;0,0680247297437602;0,03680241327300150;23;1;2;46;NA;0,2196470425830260;0,429804210436651;207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi;red;blue;mean;TRUE;0,0148775463492790;0,00542986425339366;46;2;4;92;NA;0,1098235212915130;0,429804210436651;411
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi;red;blue;mean;TRUE;0,0638895407470275;0,03591342134741440;23;1;2;46;NA;0,2196470425830260;0,281000000000000;207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_2048x2048.czi;red;blue;mean;TRUE;0,0908674863962430;0,05696594427244580;46;2;4;92;NA;0,1098235212915130;0,281000000000000;411
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_4096x4096.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;data/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_4096x4096.czi;red;blue;mean;TRUE;0,0661326009002823;0,04726522187822500;92;5;9;183;NA;0,0549117606457566;0,281000000000000;822
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_1024x1024.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_1024x1024.czi;red;blue;mean;TRUE;0,0436255436026551;0,02461873638344230;23;1;2;46;NA;0,2196470425830260;0,281000000000000;207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_4096x4096.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;data/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_3_4096x4096.czi;red;blue;mean;TRUE;0,1327535079638240;0,10915032679738600;92;5;9;183;NA;0,0549117606457566;0,281000000000000;822
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_1024x1024.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_1024x1024.czi;red;blue;mean;TRUE;0,0650187020808597;0,03552479815455590;23;1;2;46;NA;0,2196470425830260;0,281000000000000;207
210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_2048x2048.czi;detectCilia::detectCilia(input_file_czi = file_names_czi[i]);NA;E:/PhD/Daten/Cilia/resolutionImages/210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_4_2048x2048.czi;red;blue;mean;TRUE;0,1036240271302500;0,06689734717416380;46;2;4;92;NA;0,1098235212915130;0,281000000000000;411
