Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.1;NA;green;NA;max;TRUE;1,000000000000000;0,1000000000000000;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.2;NA;green;NA;max;TRUE;0,999984740978103;0,0999984740978103;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.3;NA;green;NA;max;TRUE;0,996154726482032;0,0996154726482032;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.4;NA;green;NA;max;TRUE;0,959594110017548;0,0959594110017548;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.5;NA;green;NA;max;TRUE;0,893049515526055;0,0893049515526055;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.6;NA;green;NA;max;TRUE;0,829770351720455;0,0829770351720455;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.7;NA;green;NA;max;TRUE;0,777264057373922;0,0777264057373922;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.8;NA;green;NA;max;TRUE;0,732158388647288;0,0732158388647288;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0.9;NA;green;NA;max;TRUE;0,691676203555352;0,0691676203555352;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_0;NA;green;NA;max;TRUE;1,000000000000000;0,1000000000000000;5;1;5;100;0,2;1;1;45
