dirName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1,1,TRUE,54,54,20,9,11,3,3,10,10,10.44,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_10_0_gblur_1,1,TRUE,54,54,20,8,12,5,5,10,10,11.18,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_15_0_gblur_1,1,TRUE,54,54,20,8,12,5,5,10,10,11.18,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_20_0_gblur_1,1,FALSE,57,57,20,7,12,6,6,10,10,11.66,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_25_0_gblur_1,1,TRUE,54,54,20,7,13,7,7,10,10,12.21,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_30_0_gblur_1,1,FALSE,57,57,20,7,13,7,7,10,10.01,12.21,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_35_0_gblur_1,1,TRUE,59,59,20,6,13,8,8,11,11.03,13.63,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_40_0_gblur_1,1,TRUE,58,58,20,6,14,9,9,11,11,14.21,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_45_0_gblur_1,1,TRUE,56,56,20,6,13,8,8,11,11,13.6,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_5_0_gblur_1,1,TRUE,54,54,20,8,11,4,4,10,10,10.77,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_50_0_gblur_1,1,FALSE,56,56,20,6,14,9,9,10,10,13.45,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_55_0_gblur_1,1,FALSE,53,53,20,6,14,9,9,9,9.02,12.75,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_60_0_gblur_1,1,TRUE,53,53,20,5,14,10,10,9,9.01,13.46,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_65_0_gblur_1,1,TRUE,52,52,20,5,14,10,10,9,9.01,13.46,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_70_0_gblur_1,1,TRUE,51,51,20,5,14,10,10,8,8.02,12.82,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_75_0_gblur_1,1,FALSE,46,46,20,5,15,11,11,8,8,13.6,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_80_0_gblur_1,1,FALSE,46,46,20,5,14,10,10,8,8.01,12.81,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_85_0_gblur_1,1,FALSE,42,42,20,5,14,10,10,8,8.02,12.82,yes_or_no
ArtificialCilium_l_10w_3h_3_rotated_0_90_0_gblur_1,1,TRUE,36,36,20,5,14,10,10,8,8,12.81,yes_or_no
