Original_function_call,input_dir_tif,input_file_czi,cilium_color,nucleus_color,projection_method_for_threshold_calculation,threshold_by_density_of_cilium_pixels,threshold_find,threshold_connect,vicinity_combine,vicinity_connect,min_cilium_area_in_pixels,max_cilium_area_in_pixels,number_size_factor,pixel_size,slice_distance,nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1,NA,green,NA,max,TRUE,0.5523765926604105,0.05523765926604105,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_10_0_gblur_1,NA,green,NA,max,TRUE,0.5523765926604105,0.05523765926604105,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_15_0_gblur_1,NA,green,NA,max,TRUE,0.5523765926604105,0.05523765926604105,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_20_0_gblur_1,NA,green,NA,max,TRUE,0.5522836111540499,0.05522836111540499,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_25_0_gblur_1,NA,green,NA,max,TRUE,0.5691767757686732,0.05691767757686732,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_30_0_gblur_1,NA,green,NA,max,TRUE,0.5705858352839956,0.05705858352839957,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_35_0_gblur_1,NA,green,NA,max,TRUE,0.5721815272921696,0.05721815272921696,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_40_0_gblur_1,NA,green,NA,max,TRUE,0.5371309224115347,0.05371309224115347,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_45_0_gblur_1,NA,green,NA,max,TRUE,0.5363542533584045,0.05363542533584045,5,1,5,100,0.2,1,1,45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)",E:/PhD/Data/Cilia/artificialCilia/c_shaped/ArtificialCilium_l_10w_3h_3_rotated_0_5_0_gblur_1,NA,green,NA,max,TRUE,0.5523765926604105,0.05523765926604105,5,1,5,100,0.2,1,1,45
