fileName,cilium_number_clemens,cilium_number_kai,horizontal_length_in_pixels,horizontal_length_in_um,horizontal_scaling_in_um,researcher,vertical_scaling_in_um,z_lower,z_upper,zstack_layers,comments,vertical_length_in_layers,vertical_length_in_um,total_length_in_um
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,1,1,13.691329373001022,3.00726000580979,0.219647042583026,clemens,0.281399093816734,3,13,11,NA,11,3.095390031984074,4.315675172281791
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,2,2,10.081914500728498,2.21446270365994,0.219647042583026,clemens,0.281399093816734,6,12,7,NA,7,1.9697936567171381,2.9637699161615036
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,3,3,8.21720755488141,1.8048853377206,0.219647042583026,clemens,0.281399093816734,5,16,12,NA,12,3.376789125800808,3.828879194026026
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,4,5,14.971489832762154,3.28844346482805,0.219647042583026,clemens,0.281399093816734,3,14,12,NA,12,3.376789125800808,4.713445154183604
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,5,6,13.090550026641374,2.87530059913693,0.219647042583026,clemens,0.281399093816734,3,13,11,NA,11,3.095390031984074,4.224783187987705
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,6,29,9.139064503547369,2.00736849017969,0.219647042583026,clemens,0.281399093816734,6,13,8,NA,8,2.251192750533872,3.016189161081007
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,7,7,11.09617051058609,2.43724103664722,0.219647042583026,clemens,0.281399093816734,6,18,13,NA,13,3.658188219617542,4.395734855614676
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,8,9,16.40305260881935,3.60288199486096,0.219647042583026,clemens,0.281399093816734,4,12,9,NA,9,2.532591844350606,4.40395051277424
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,9,11,15.670100924636099,3.4418913250738603,0.219647042583026,clemens,0.281399093816734,4,18,15,NA,15,4.22098640725101,5.4464063513308005
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,10,16,8.25302974670503,1.8127535762135,0.219647042583026,clemens,0.281399093816734,8,18,11,NA,11,3.095390031984074,3.587131859603324
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,11,8,8.700080818590157,1.91094702203664,0.219647042583026,clemens,0.281399093816734,3,17,15,NA,15,4.22098640725101,4.633405310484772
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,12,10,17.568573794029216,3.85888527626017,0.219647042583026,clemens,0.281399093816734,3,14,12,NA,12,3.376789125800808,5.127738329464962
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,13,12,15.004068458671428,3.2955992636604403,0.219647042583026,clemens,0.281399093816734,3,13,11,NA,11,3.095390031984074,4.5213287821994985
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,14,13,15.991330659141536,3.51244848624771,0.219647042583026,clemens,0.281399093816734,5,14,10,NA,10,2.81399093816734,4.5006487719696295
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,15,15,15.09113978465507,3.31472422290653,0.219647042583026,clemens,0.281399093816734,5,15,11,NA,11,3.095390031984074,4.535287876643517
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,16,22,14.834108711007902,3.25826810772799,0.219647042583026,clemens,0.281399093816734,6,16,11,NA,11,3.095390031984074,4.494190751619662
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,17,17,14.182559712548366,3.11515729711842,0.219647042583026,clemens,0.281399093816734,5,13,9,NA,9,2.532591844350606,4.014751105094978
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,18,19,11.663297132457876,2.56180872191146,0.219647042583026,clemens,0.281399093816734,3,13,11,NA,11,3.095390031984074,4.01799743376822
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,19,23,11.305419054595038,2.48320186050359,0.219647042583026,clemens,0.281399093816734,8,17,10,NA,10,2.81399093816734,3.7529770156632183
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,20,24,12.08111622080613,2.6535814490018903,0.219647042583026,clemens,0.281399093816734,1,13,13,NA,13,3.658188219617542,4.51927378642139
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,21,18,16.078003522378808,3.53148592432998,0.219647042583026,clemens,0.281399093816734,5,15,11,NA,11,3.095390031984074,4.696044323028387
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,22,20,14.314683239597041,3.1441778390903,0.219647042583026,clemens,0.281399093816734,7,15,9,NA,9,2.532591844350606,4.037310457953135
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,23,21,15.50314988155634,3.40522102220524,0.219647042583026,clemens,0.281399093816734,6,15,10,NA,10,2.81399093816734,4.417473849402666
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,24,27,8.223442101699277,1.80625473749099,0.219647042583026,clemens,0.281399093816734,6,18,13,NA,13,3.658188219617542,4.079815832468079
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,25,28,10.357726584535913,2.2750440121769002,0.219647042583026,clemens,0.281399093816734,8,16,9,NA,9,2.532591844350606,3.4043863922024435
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,26,25,15.654971255163657,3.43856813791898,0.219647042583026,clemens,0.281399093816734,4,13,10,NA,10,2.81399093816734,4.443230338301122
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,27,26,13.43316790634282,2.95055560314942,0.219647042583026,clemens,0.281399093816734,5,14,10,NA,10,2.81399093816734,4.077293632713291
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,28,4,9.307120929696818,2.04428158717049,0.219647042583026,clemens,0.281399093816734,6,17,12,NA,12,3.376789125800808,3.947377864832664
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,29,NA,10.944404963267782,2.4039061830127597,0.219647042583026,clemens,0.281399093816734,3,12,10,at border,10,2.81399093816734,3.7009876974687286
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_10.czi,30,14,6.319921380048913,1.38815204048498,0.219647042583026,clemens,0.281399093816734,9,19,11,NA,11,3.095390031984074,3.392404094091531
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,1,3,5.393885100056547,1.18475091026007,0.219647042583026,clemens,0.281399093816734,8,19,12,NA,12,3.376789125800808,3.578594629109121
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,2,2,13.238202294873716,2.90773198318484,0.219647042583026,clemens,0.281399093816734,5,14,10,NA,10,2.81399093816734,4.0464120262429955
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_11.czi,3,1,10.998295322457919,2.41574304103261,0.219647042583026,clemens,0.281399093816734,7,14,8,NA,8,2.251192750533872,3.3020725673966864
