fileName,cilium_number_automatic,cilium_number_clemens,comments
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,3,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,4,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,1,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,7,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,5,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,8,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,9,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,11,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,10,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,13,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,12,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,15,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,14,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,16,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,20,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,17,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,18,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,22,19,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,NA,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,26,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,23,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,24,23,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,21,24,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,28,25,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,27,26,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,29,27,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,25,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,2,29,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,19,30,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_6.czi,NA,31,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,2,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,4,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,1,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,5,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,3,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,10,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,12,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,13,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,9,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,8,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,11,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,15,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,18,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,17,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,16,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,14,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,19,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,20,19,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,21,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,23,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,22,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,27,23,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,26,24,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,24,25,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,28,26,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,25,27,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,30,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,29,29,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,7,30,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,1,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,3,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,1,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,2,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,4,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,9,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,8,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,11,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,13,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,10,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,5,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,7,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,12,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,15,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,14,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,16,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,17,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,19,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,18,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,19,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,20,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,24,23,NA
