cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,1.18475091026007,12,2.809,14,8,19
2,2.90773198318484,10,4.634,12,5,14
3,2.41574304103261,8,3.622,8,7,14
4,2.10187989263322,11,3.805,13,8,18
5,0.948818181381611,11,1.88,11,10,20
6,1.3893435071471598,14,2.526,15,10,23
7,2.5283273303312197,12,3.765,13,5,16
8,1.76703281378055,9,2.988,10,9,17
9,1.91260113872108,10,3.336,9,9,18
10,2.33959706499944,9,3.439,10,9,17
11,2.7572320901599903,12,3.614,13,6,17
12,2.54811870482013,10,3.075,11,12,21
13,2.0607352960256597,13,2.576,14,10,22
14,2.6430759383869398,10,3.725,11,6,15
15,2.67485100701749,11,3.794,13,8,18
16,3.08445767644988,10,3.893,11,9,18
17,1.23575292384113,13,1.715,13,13,25
18,1.82535150319729,7,2.744,8,11,17
