cilium_number,horizontal_length_in_um,horizontal_length_in_um_old,zstack_layers,z_lower,z_upper
1,2.4375035196240202,2.767,8,8,15
2,1.73107093678512,1.612,11,7,17
3,2.78986332021566,2.678,11,4,14
4,1.91886945672287,2.012,6,8,13
5,3.755162542556,3.654,12,5,16
6,2.5555864971222197,2.182,11,10,20
7,2.8453407178348598,2.777,9,7,15
8,2.20183055163676,1.882,11,6,16
9,2.69519009844881,2.812,9,9,17
10,2.70482646978959,2.742,12,7,18
11,1.85708944176266,1.502,7,9,15
12,2.30519054512235,2.193,9,8,16
13,1.73677487480141,1.534,8,9,16
14,1.61533936651627,1.517,13,10,22
15,1.65225098798756,1.329,9,8,16
16,2.96958542021808,2.975,8,10,17
17,3.7467690999493897,3.533,11,9,19
18,2.81456923673946,2.575,9,7,15
19,3.1584577625048,3.221,10,10,19
