cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,15.014,6,16
2,16.207,8,17
3,15.502,9,17
4,16.031,9,18
5,13.029,6,16
6,12.811,10,18
7,14.916,6,18
8,11.748,10,17
9,20.252,6,19
10,11.086,8,18
11,15.557,9,18
12,13.038,10,18
13,11.141,9,19
14,13.809,9,18
15,12.381,10,19
16,8.143,10,20
17,10.966,5,17
18,15.211,7,16
19,16.031,8,17
20,11.511,7,18
21,15.766,10,20
22,9.758,10,18
23,10.914,11,17
24,14.199,11,18
25,11.971,11,21
26,17.529,11,20
27,7.491,12,23
28,12.937,8,16
29,10.086,10,18
30,6.165,12,21
