cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,13.022,4,13
2,11.907,7,14
3,12.104,7,15
4,19.791,6,18
5,11.358,6,22
6,18.588,13,23
7,14.261,6,17
8,8.496,10,23
9,12.349,6,18
10,13.877,6,17
11,14.82,10,18
12,22.227,4,16
13,14.959,8,20
14,12.67,11,20
15,15.059,7,17
16,13.539,7,16
17,15.525,8,18
18,20.945,9,19
19,19.063,4,17
20,13.924,8,18
21,15.347,8,19
22,10.25,8,19
23,12.684,8,18
24,16.297,11,21
25,16.913,8,18
26,7.021,13,25
27,11.125,8,22
28,15.484,8,18
29,13.365,11,21
30,6.666,10,14
