fileName,cilium,horizontal_length_in_pixels,vertical_height_slices,total_length
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,1,11.206,4,2.707804037
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,2,10.055,3,2.366217744
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,3,10.185,4,2.505022253
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,4,14.988,4,3.482381795
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,5,11.593,4,2.785542355
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,6,11.887,5,2.966303629
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,7,12.259,4,2.920291273
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,8,8.272,3,2.004349676
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,9,10.596,4,2.586217403
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,10,12.26,5,3.038895826
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,11,7.778,3,1.906218389
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,12,10.049,4,2.478295424
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,13,10.981,5,2.792165159
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,14,10.736,5,2.745663141
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,15,14.263,5,3.436010096
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_1,16,8.838,4,2.243866264
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,1,11.908,9,3.635043667
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,2,8.773,10,3.400754564
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,3,7.292,11,3.472749052
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,4,5.051,7,2.253088966
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,5,9.961,10,3.555604255
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,6,12.115,10,3.865724265
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,7,11.257,10,3.738081108
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,8,6.403,9,2.886992032
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,9,12.47,11,4.124638598
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,10,8.552,9,3.144871456
210301_EV38_Kollagen + WF_1_1024x1024_z-stack_2_looks ok,11,6.103,7,2.375781109
